GroupBy(StrainNumber)	GroupBy(Ratio)	mean(Area)	mean(Circularity)
1	1:0	111959.66666667	0.061333333333333
287	1:0	10271	0.73733333333333
287_98	1000:1	45435.333333333	0.30233333333333
287_98	100:1	74453.666666667	0.11133333333333
287_98	10:1	184367.33333333	0.042333333333333
287_98	1:1	43223.666666667	0.197
287_98	1:2	26811.333333333	0.389
287_98	1:3	18760.666666667	0.607
287_98	2:1	87056.666666667	0.096333333333333
287_98	3:1	89125.333333333	0.085666666666667
287_98	4:1	152298	0.055
287_98	500:1	10046.333333333	0.81866666666667
287_98	50:1	93919	0.095
287_98	5:1	118086.33333333	0.066666666666667
98	1:0	14535.666666667	0.49
