GroupBy(StrainNumber)	GroupBy(Ratio)	mean(Area)	mean(Circularity)	area_relative_difference	circularity_relative_difference	normalized_squared_distance
287_98	5:1	118086.33333333	0.066666666666667	0.0547220874183245	0.0869565217391418	0.0105559435243886
287_98	4:1	152298	0.055	0.360293439006268	-0.103260869565212	0.140474169374327
287_98	3:1	89125.333333333	0.085666666666667	-0.203951422982708	0.396739130434796	0.198998120554829
287_98	50:1	93919	0.095	-0.16113540888239	0.548913043478269	0.327270149296272
287_98	2:1	87056.666666667	0.096333333333333	-0.222428314958681	0.570652173913047	0.375118258887044
287_98	10:1	184367.33333333	0.042333333333333	0.646729923573589	-0.309782608695654	0.514224858695785
287_98	100:1	74453.666666667	0.11133333333333	-0.334995638310242	0.815217391304303	0.77680147277188
287_98	1:1	43223.666666667	0.197	-0.613935375537032	2.21195652173915	5.26966829940015
287_98	1000:1	45435.333333333	0.30233333333333	-0.594181237886278	3.92934782608693	15.7928256818301
287_98	1:2	26811.333333333	0.389	-0.760526856397701	5.34239130434786	29.1195459480738
287_98	1:3	18760.666666667	0.607	-0.83243370380405	8.89673913043484	79.8449130262393
287_98	500:1	10046.333333333	0.81866666666667	-0.910268281136963	12.3478260869566	153.297397417371
