model	parameter	value	mix	endo	exo	fraction_exo	interpretation
method_of_moments	GC_fraction	0.593659033	0.593659033	0.568962025	0.657863578	0.277802	inside_0_1
method_of_moments	A_fraction	0.203236641	0.203236641	0.217924051	0.171222651	0.314496	inside_0_1
method_of_moments	C_fraction	0.296804071	0.296804071	0.280000000	0.328262548	0.348180	inside_0_1
method_of_moments	G_fraction	0.296854962	0.296854962	0.288962025	0.329601030	0.194221	inside_0_1
method_of_moments	T_fraction	0.203104326	0.203104326	0.213113924	0.170913771	0.237193	inside_0_1
gc_histogram_mle	alpha=0.1	0.330700000	-6509.702019476	nan	nan	0.330700	inside_0_1
gc_histogram_mle	alpha=0.5	0.352000000	-6529.346708005	nan	nan	0.352000	inside_0_1
gc_histogram_mle	alpha=1	0.376400000	-6553.509568056	nan	nan	0.376400	inside_0_1
gc_histogram_mle	alpha=2	0.420900000	-6598.476624486	nan	nan	0.420900	inside_0_1
gc_histogram_mle	alpha=5	0.537200000	-6704.683528781	nan	nan	0.537200	inside_0_1
gc_histogram_mle	alpha=10	0.707300000	-6817.551008294	nan	nan	0.707300	inside_0_1
global_base_multinomial_mle	alpha=0.1	0.534800000	-133622.290226987	nan	nan	0.534800	inside_0_1
cycle_base_multinomial_mle	alpha=0.1	0.546700000	-133652.183702105	nan	nan	0.546700	inside_0_1
global_base_multinomial_mle	alpha=1	0.534900000	-133622.201465542	nan	nan	0.534900	inside_0_1
cycle_base_multinomial_mle	alpha=1	0.548800000	-133645.621038050	nan	nan	0.548800	inside_0_1
global_base_multinomial_mle	alpha=10	0.535400000	-133621.319794154	nan	nan	0.535400	inside_0_1
cycle_base_multinomial_mle	alpha=10	0.567900000	-133597.328112490	nan	nan	0.567900	inside_0_1
