target	feature	bin_size	alpha	best_fraction_exo	log_likelihood	reads
exo_holdout	gc	NA	0.001	0.994000	-1035.749152	388
exo_holdout	gc	NA	0.01	0.998000	-1035.257688	388
exo_holdout	gc	NA	0.1	1.000000	-1034.711504	388
exo_holdout	gc	NA	0.5	1.000000	-1040.535311	388
exo_holdout	start	50	0.001	1.000000	-1297.261312	388
exo_holdout	start	50	0.01	1.000000	-1297.530475	388
exo_holdout	start	50	0.1	1.000000	-1300.192825	388
exo_holdout	start	50	0.5	1.000000	-1311.416745	388
exo_holdout	start	100	0.001	1.000000	-1038.564522	388
exo_holdout	start	100	0.01	1.000000	-1038.699326	388
exo_holdout	start	100	0.1	1.000000	-1040.039939	388
exo_holdout	start	100	0.5	1.000000	-1045.839584	388
exo_holdout	start	200	0.001	1.000000	-777.636899	388
exo_holdout	start	200	0.01	1.000000	-777.709457	388
exo_holdout	start	200	0.1	1.000000	-778.433137	388
exo_holdout	start	200	0.5	1.000000	-781.608122	388
exo_holdout	joint	50	0.001	0.984000	-2015.386529	388
exo_holdout	joint	50	0.01	0.988000	-1983.190705	388
exo_holdout	joint	50	0.1	1.000000	-1953.934827	388
exo_holdout	joint	50	0.5	1.000000	-1958.265030	388
exo_holdout	joint	100	0.001	0.995000	-1854.275206	388
exo_holdout	joint	100	0.01	0.999000	-1831.148817	388
exo_holdout	joint	100	0.1	1.000000	-1812.568265	388
exo_holdout	joint	100	0.5	1.000000	-1821.472784	388
exo_holdout	joint	200	0.001	1.000000	-1633.028808	388
exo_holdout	joint	200	0.01	1.000000	-1617.500039	388
exo_holdout	joint	200	0.1	1.000000	-1607.173348	388
exo_holdout	joint	200	0.5	1.000000	-1619.503592	388
endo_holdout	gc	NA	0.001	0.041000	-680.786880	197
endo_holdout	gc	NA	0.01	0.042000	-680.742214	197
endo_holdout	gc	NA	0.1	0.047000	-680.334693	197
endo_holdout	gc	NA	0.5	0.070000	-679.170953	197
endo_holdout	start	50	0.001	0.013000	-796.539376	197
endo_holdout	start	50	0.01	0.013000	-796.514334	197
endo_holdout	start	50	0.1	0.012000	-796.290178	197
endo_holdout	start	50	0.5	0.006000	-795.709785	197
endo_holdout	start	100	0.001	0.007000	-664.775392	197
endo_holdout	start	100	0.01	0.007000	-664.773633	197
endo_holdout	start	100	0.1	0.007000	-664.757747	197
endo_holdout	start	100	0.5	0.007000	-664.719425	197
endo_holdout	start	200	0.001	0.011000	-538.458633	197
endo_holdout	start	200	0.01	0.011000	-538.458615	197
endo_holdout	start	200	0.1	0.011000	-538.459173	197
endo_holdout	start	200	0.5	0.013000	-538.475471	197
endo_holdout	joint	50	0.001	0.240000	-1351.865668	197
endo_holdout	joint	50	0.01	0.234000	-1253.271774	197
endo_holdout	joint	50	0.1	0.184000	-1158.901364	197
endo_holdout	joint	50	0.5	0.083000	-1111.402169	197
endo_holdout	joint	100	0.001	0.199000	-1240.463383	197
endo_holdout	joint	100	0.01	0.194000	-1164.781700	197
endo_holdout	joint	100	0.1	0.158000	-1092.175558	197
endo_holdout	joint	100	0.5	0.088000	-1055.302813	197
endo_holdout	joint	200	0.001	0.135000	-1129.529251	197
endo_holdout	joint	200	0.01	0.133000	-1067.677285	197
endo_holdout	joint	200	0.1	0.115000	-1008.759764	197
endo_holdout	joint	200	0.5	0.088000	-979.277289	197
mix_odd_holdout	gc	NA	0.001	0.323000	-3264.080592	982
mix_odd_holdout	gc	NA	0.01	0.324000	-3264.006342	982
mix_odd_holdout	gc	NA	0.1	0.327000	-3263.323047	982
mix_odd_holdout	gc	NA	0.5	0.343000	-3261.301289	982
mix_odd_holdout	start	50	0.001	0.312000	-3967.816704	982
mix_odd_holdout	start	50	0.01	0.312000	-3967.731556	982
mix_odd_holdout	start	50	0.1	0.314000	-3966.907496	982
mix_odd_holdout	start	50	0.5	0.323000	-3963.757380	982
mix_odd_holdout	start	100	0.001	0.292000	-3294.640229	982
mix_odd_holdout	start	100	0.01	0.292000	-3294.620177	982
mix_odd_holdout	start	100	0.1	0.293000	-3294.422629	982
mix_odd_holdout	start	100	0.5	0.298000	-3293.608127	982
mix_odd_holdout	start	200	0.001	0.281000	-2641.230766	982
mix_odd_holdout	start	200	0.01	0.281000	-2641.227071	982
mix_odd_holdout	start	200	0.1	0.282000	-2641.190603	982
mix_odd_holdout	start	200	0.5	0.285000	-2641.047648	982
mix_odd_holdout	joint	50	0.001	0.439000	-6203.505476	982
mix_odd_holdout	joint	50	0.01	0.439000	-5951.800672	982
mix_odd_holdout	joint	50	0.1	0.436000	-5714.364836	982
mix_odd_holdout	joint	50	0.5	0.446000	-5602.520979	982
mix_odd_holdout	joint	100	0.001	0.413000	-5748.616448	982
mix_odd_holdout	joint	100	0.01	0.413000	-5556.316754	982
mix_odd_holdout	joint	100	0.1	0.413000	-5374.236349	982
mix_odd_holdout	joint	100	0.5	0.428000	-5287.895257	982
mix_odd_holdout	joint	200	0.001	0.390000	-5211.348289	982
mix_odd_holdout	joint	200	0.01	0.390000	-5066.916828	982
mix_odd_holdout	joint	200	0.1	0.392000	-4928.609110	982
mix_odd_holdout	joint	200	0.5	0.411000	-4860.618615	982
mix_even_holdout	gc	NA	0.001	0.327000	-3240.756007	983
mix_even_holdout	gc	NA	0.01	0.327000	-3240.738813	983
mix_even_holdout	gc	NA	0.1	0.331000	-3240.599606	983
mix_even_holdout	gc	NA	0.5	0.346000	-3240.550451	983
mix_even_holdout	start	50	0.001	0.312000	-3972.997834	983
mix_even_holdout	start	50	0.01	0.312000	-3972.911114	983
mix_even_holdout	start	50	0.1	0.314000	-3972.071075	983
mix_even_holdout	start	50	0.5	0.324000	-3968.853744	983
mix_even_holdout	start	100	0.001	0.292000	-3298.859943	983
mix_even_holdout	start	100	0.01	0.292000	-3298.839110	983
mix_even_holdout	start	100	0.1	0.293000	-3298.633783	983
mix_even_holdout	start	100	0.5	0.298000	-3297.786086	983
mix_even_holdout	start	200	0.001	0.281000	-2644.811377	983
mix_even_holdout	start	200	0.01	0.281000	-2644.807400	983
mix_even_holdout	start	200	0.1	0.281000	-2644.768794	983
mix_even_holdout	start	200	0.5	0.284000	-2644.615736	983
mix_even_holdout	joint	50	0.001	0.446000	-6142.255269	983
mix_even_holdout	joint	50	0.01	0.446000	-5913.320130	983
mix_even_holdout	joint	50	0.1	0.443000	-5696.503165	983
mix_even_holdout	joint	50	0.5	0.456000	-5592.478947	983
mix_even_holdout	joint	100	0.001	0.421000	-5704.551966	983
mix_even_holdout	joint	100	0.01	0.421000	-5530.451701	983
mix_even_holdout	joint	100	0.1	0.421000	-5364.751263	983
mix_even_holdout	joint	100	0.5	0.437000	-5284.528072	983
mix_even_holdout	joint	200	0.001	0.394000	-5168.257792	983
mix_even_holdout	joint	200	0.01	0.394000	-5039.775630	983
mix_even_holdout	joint	200	0.1	0.396000	-4915.954982	983
mix_even_holdout	joint	200	0.5	0.414000	-4853.114493	983
