target	model	alpha	best_fraction_exo	log_likelihood	reads
exo_holdout	gc_histogram_mle	0.1	1.000000	-1048.307899	388
exo_holdout	gc_histogram_mle	1	1.000000	-1074.311507	388
exo_holdout	gc_histogram_mle	10	1.000000	-1226.796238	388
endo_holdout	gc_histogram_mle	0.1	0.189600	-695.437029	197
endo_holdout	gc_histogram_mle	1	0.203700	-692.934603	197
endo_holdout	gc_histogram_mle	10	0.643700	-722.081297	197
mix_odd_holdout	gc_histogram_mle	0.1	0.309800	-3283.963178	982
mix_odd_holdout	gc_histogram_mle	1	0.356000	-3303.400848	982
mix_odd_holdout	gc_histogram_mle	10	0.685200	-3428.072820	982
mix_even_holdout	gc_histogram_mle	0.1	0.352000	-3225.349951	983
mix_even_holdout	gc_histogram_mle	1	0.396900	-3249.757267	983
mix_even_holdout	gc_histogram_mle	10	0.728700	-3389.213534	983
