target	reads	nearest_exo_distance	nearest_endo_distance	exo_strict	endo_strict	tie	mean_exo_distance	mean_endo_distance
mix	1965	50:1965	50:1965	0	0	1965	50.0000	50.0000
endo	395	50:395	50:395	0	0	395	50.0000	50.0000
exo	777	50:777	50:777	0	0	777	50.0000	50.0000

# mix read-level classification using nearest unique reference sequence
read_number	d_exo	d_endo	classification
1	50	50	tie
2	50	50	tie
3	50	50	tie
4	50	50	tie
5	50	50	tie
6	50	50	tie
7	50	50	tie
8	50	50	tie
9	50	50	tie
10	50	50	tie
11	50	50	tie
12	50	50	tie
13	50	50	tie
14	50	50	tie
15	50	50	tie
16	50	50	tie
17	50	50	tie
18	50	50	tie
19	50	50	tie
20	50	50	tie
21	50	50	tie
22	50	50	tie
23	50	50	tie
24	50	50	tie
25	50	50	tie
26	50	50	tie
27	50	50	tie
28	50	50	tie
29	50	50	tie
30	50	50	tie
31	50	50	tie
32	50	50	tie
33	50	50	tie
34	50	50	tie
35	50	50	tie
36	50	50	tie
37	50	50	tie
38	50	50	tie
39	50	50	tie
40	50	50	tie
41	50	50	tie
42	50	50	tie
43	50	50	tie
44	50	50	tie
45	50	50	tie
46	50	50	tie
47	50	50	tie
48	50	50	tie
49	50	50	tie
50	50	50	tie
51	50	50	tie
52	50	50	tie
53	50	50	tie
54	50	50	tie
55	50	50	tie
56	50	50	tie
57	50	50	tie
58	50	50	tie
59	50	50	tie
60	50	50	tie
61	50	50	tie
62	50	50	tie
63	50	50	tie
64	50	50	tie
65	50	50	tie
66	50	50	tie
67	50	50	tie
68	50	50	tie
69	50	50	tie
70	50	50	tie
71	50	50	tie
72	50	50	tie
73	50	50	tie
74	50	50	tie
75	50	50	tie
76	50	50	tie
77	50	50	tie
78	50	50	tie
79	50	50	tie
80	50	50	tie
81	50	50	tie
82	50	50	tie
83	50	50	tie
84	50	50	tie
85	50	50	tie
86	50	50	tie
87	50	50	tie
88	50	50	tie
89	50	50	tie
90	50	50	tie
91	50	50	tie
92	50	50	tie
93	50	50	tie
94	50	50	tie
95	50	50	tie
96	50	50	tie
97	50	50	tie
98	50	50	tie
99	50	50	tie
100	50	50	tie
101	50	50	tie
102	50	50	tie
103	50	50	tie
104	50	50	tie
105	50	50	tie
106	50	50	tie
107	50	50	tie
108	50	50	tie
109	50	50	tie
110	50	50	tie
111	50	50	tie
112	50	50	tie
113	50	50	tie
114	50	50	tie
115	50	50	tie
116	50	50	tie
117	50	50	tie
118	50	50	tie
119	50	50	tie
120	50	50	tie
121	50	50	tie
122	50	50	tie
123	50	50	tie
124	50	50	tie
125	50	50	tie
126	50	50	tie
127	50	50	tie
128	50	50	tie
129	50	50	tie
130	50	50	tie
131	50	50	tie
132	50	50	tie
133	50	50	tie
134	50	50	tie
135	50	50	tie
136	50	50	tie
137	50	50	tie
138	50	50	tie
139	50	50	tie
140	50	50	tie
141	50	50	tie
142	50	50	tie
143	50	50	tie
144	50	50	tie
145	50	50	tie
146	50	50	tie
147	50	50	tie
148	50	50	tie
149	50	50	tie
150	50	50	tie
151	50	50	tie
152	50	50	tie
153	50	50	tie
154	50	50	tie
155	50	50	tie
156	50	50	tie
157	50	50	tie
158	50	50	tie
159	50	50	tie
160	50	50	tie
161	50	50	tie
162	50	50	tie
163	50	50	tie
164	50	50	tie
165	50	50	tie
166	50	50	tie
167	50	50	tie
168	50	50	tie
169	50	50	tie
170	50	50	tie
171	50	50	tie
172	50	50	tie
173	50	50	tie
174	50	50	tie
175	50	50	tie
176	50	50	tie
177	50	50	tie
178	50	50	tie
179	50	50	tie
180	50	50	tie
181	50	50	tie
182	50	50	tie
183	50	50	tie
184	50	50	tie
185	50	50	tie
186	50	50	tie
187	50	50	tie
188	50	50	tie
189	50	50	tie
190	50	50	tie
191	50	50	tie
192	50	50	tie
193	50	50	tie
194	50	50	tie
195	50	50	tie
196	50	50	tie
197	50	50	tie
198	50	50	tie
199	50	50	tie
200	50	50	tie
201	50	50	tie
202	50	50	tie
203	50	50	tie
204	50	50	tie
205	50	50	tie
206	50	50	tie
207	50	50	tie
208	50	50	tie
209	50	50	tie
210	50	50	tie
211	50	50	tie
212	50	50	tie
213	50	50	tie
214	50	50	tie
215	50	50	tie
216	50	50	tie
217	50	50	tie
218	50	50	tie
219	50	50	tie
220	50	50	tie
221	50	50	tie
222	50	50	tie
223	50	50	tie
224	50	50	tie
225	50	50	tie
226	50	50	tie
227	50	50	tie
228	50	50	tie
229	50	50	tie
230	50	50	tie
231	50	50	tie
232	50	50	tie
233	50	50	tie
234	50	50	tie
235	50	50	tie
236	50	50	tie
237	50	50	tie
238	50	50	tie
239	50	50	tie
240	50	50	tie
241	50	50	tie
242	50	50	tie
243	50	50	tie
244	50	50	tie
245	50	50	tie
246	50	50	tie
247	50	50	tie
248	50	50	tie
249	50	50	tie
250	50	50	tie
251	50	50	tie
252	50	50	tie
253	50	50	tie
254	50	50	tie
255	50	50	tie
256	50	50	tie
257	50	50	tie
258	50	50	tie
259	50	50	tie
260	50	50	tie
261	50	50	tie
262	50	50	tie
263	50	50	tie
264	50	50	tie
265	50	50	tie
266	50	50	tie
267	50	50	tie
268	50	50	tie
269	50	50	tie
270	50	50	tie
271	50	50	tie
272	50	50	tie
273	50	50	tie
274	50	50	tie
275	50	50	tie
276	50	50	tie
277	50	50	tie
278	50	50	tie
279	50	50	tie
280	50	50	tie
281	50	50	tie
282	50	50	tie
283	50	50	tie
284	50	50	tie
285	50	50	tie
286	50	50	tie
287	50	50	tie
288	50	50	tie
289	50	50	tie
290	50	50	tie
291	50	50	tie
292	50	50	tie
293	50	50	tie
294	50	50	tie
295	50	50	tie
296	50	50	tie
297	50	50	tie
298	50	50	tie
299	50	50	tie
300	50	50	tie
301	50	50	tie
302	50	50	tie
303	50	50	tie
304	50	50	tie
305	50	50	tie
306	50	50	tie
307	50	50	tie
308	50	50	tie
309	50	50	tie
310	50	50	tie
311	50	50	tie
312	50	50	tie
313	50	50	tie
314	50	50	tie
315	50	50	tie
316	50	50	tie
317	50	50	tie
318	50	50	tie
319	50	50	tie
320	50	50	tie
321	50	50	tie
322	50	50	tie
323	50	50	tie
324	50	50	tie
325	50	50	tie
326	50	50	tie
327	50	50	tie
328	50	50	tie
329	50	50	tie
330	50	50	tie
331	50	50	tie
332	50	50	tie
333	50	50	tie
334	50	50	tie
335	50	50	tie
336	50	50	tie
337	50	50	tie
338	50	50	tie
339	50	50	tie
340	50	50	tie
341	50	50	tie
342	50	50	tie
343	50	50	tie
344	50	50	tie
345	50	50	tie
346	50	50	tie
347	50	50	tie
348	50	50	tie
349	50	50	tie
350	50	50	tie
351	50	50	tie
352	50	50	tie
353	50	50	tie
354	50	50	tie
355	50	50	tie
356	50	50	tie
357	50	50	tie
358	50	50	tie
359	50	50	tie
360	50	50	tie
361	50	50	tie
362	50	50	tie
363	50	50	tie
364	50	50	tie
365	50	50	tie
366	50	50	tie
367	50	50	tie
368	50	50	tie
369	50	50	tie
370	50	50	tie
371	50	50	tie
372	50	50	tie
373	50	50	tie
374	50	50	tie
375	50	50	tie
376	50	50	tie
377	50	50	tie
378	50	50	tie
379	50	50	tie
