feature	bin_size	alpha	best_fraction_exo	log_likelihood	target_reads	interpretation
gc	NA	0.001	0.325000	-6504.839828	1965	inside_0_1
gc	NA	0.01	0.325000	-6504.748372	1965	inside_0_1
gc	NA	0.1	0.329000	-6503.925244	1965	inside_0_1
gc	NA	0.5	0.345000	-6501.853389	1965	inside_0_1
gc	NA	1	0.362000	-6501.610616	1965	inside_0_1
start	25	0.001	0.340000	-9469.634287	1965	inside_0_1
start	25	0.01	0.340000	-9406.944004	1965	inside_0_1
start	25	0.1	0.344000	-9340.057280	1965	inside_0_1
start	25	0.5	0.361000	-9283.244232	1965	inside_0_1
start	25	1	0.380000	-9257.526192	1965	inside_0_1
start	50	0.001	0.312000	-7940.814539	1965	inside_0_1
start	50	0.01	0.312000	-7940.642670	1965	inside_0_1
start	50	0.1	0.314000	-7938.978571	1965	inside_0_1
start	50	0.5	0.324000	-7932.611138	1965	inside_0_1
start	50	1	0.335000	-7926.501080	1965	inside_0_1
start	100	0.001	0.292000	-6593.500173	1965	inside_0_1
start	100	0.01	0.292000	-6593.459287	1965	inside_0_1
start	100	0.1	0.293000	-6593.056412	1965	inside_0_1
start	100	0.5	0.298000	-6591.394213	1965	inside_0_1
start	100	1	0.304000	-6589.579377	1965	inside_0_1
start	200	0.001	0.281000	-5286.042143	1965	inside_0_1
start	200	0.01	0.281000	-5286.034470	1965	inside_0_1
start	200	0.1	0.282000	-5285.959458	1965	inside_0_1
start	200	0.5	0.285000	-5285.663445	1965	inside_0_1
start	200	1	0.289000	-5285.371459	1965	inside_0_1
start	400	0.001	0.286000	-3996.594149	1965	inside_0_1
start	400	0.01	0.286000	-3996.591405	1965	inside_0_1
start	400	0.1	0.287000	-3996.565922	1965	inside_0_1
start	400	0.5	0.289000	-3996.501736	1965	inside_0_1
start	400	1	0.291000	-3996.523593	1965	inside_0_1
joint	25	0.001	0.479000	-13426.386285	1965	inside_0_1
joint	25	0.01	0.478000	-12764.766553	1965	inside_0_1
joint	25	0.1	0.474000	-12156.303661	1965	inside_0_1
joint	25	0.5	0.488000	-11906.346388	1965	inside_0_1
joint	25	1	0.532000	-11896.366092	1965	inside_0_1
joint	50	0.001	0.443000	-12345.885628	1965	inside_0_1
joint	50	0.01	0.442000	-11866.148524	1965	inside_0_1
joint	50	0.1	0.441000	-11420.270335	1965	inside_0_1
joint	50	0.5	0.456000	-11231.039605	1965	inside_0_1
joint	50	1	0.497000	-11228.052636	1965	inside_0_1
joint	100	0.001	0.417000	-11453.271148	1965	inside_0_1
joint	100	0.01	0.417000	-11087.506924	1965	inside_0_1
joint	100	0.1	0.418000	-10745.709558	1965	inside_0_1
joint	100	0.5	0.436000	-10599.327884	1965	inside_0_1
joint	100	1	0.474000	-10602.378904	1965	inside_0_1
joint	200	0.001	0.392000	-10379.664402	1965	inside_0_1
joint	200	0.01	0.392000	-10107.218219	1965	inside_0_1
joint	200	0.1	0.394000	-9849.554236	1965	inside_0_1
joint	200	0.5	0.416000	-9734.734068	1965	inside_0_1
joint	200	1	0.452000	-9740.449195	1965	inside_0_1
joint	400	0.001	0.366000	-9189.862007	1965	inside_0_1
joint	400	0.01	0.366000	-9025.012693	1965	inside_0_1
joint	400	0.1	0.369000	-8869.513863	1965	inside_0_1
joint	400	0.5	0.391000	-8807.673211	1965	inside_0_1
joint	400	1	0.424000	-8826.122500	1965	inside_0_1

# mean GC from primary alignments
sample	mean_gc	reads
mix	29.68295165	1965
endo	28.44810127	395
exo	32.89317889	777
