target	reads	nearest_exo_distance	nearest_endo_distance	exo_strict	endo_strict	tie	mean_exo_distance	mean_endo_distance
mix	1965	0:710,1:19,3:1,20:6,21:6,22:24,23:55,24:127,25:179,26:212,27:173,28:144,29:151,30:114,31:33,32:11	0:493,1:11,19:1,20:5,21:4,22:22,23:60,24:100,25:201,26:271,27:326,28:279,29:158,30:32,31:2	953	739	273	16.7802	19.7288
endo	395	0:50,1:6,20:3,21:1,22:6,23:17,24:35,25:51,26:52,27:53,28:39,29:45,30:24,31:9,32:4	0:395	0	345	50	22.8658	0.0000
exo	777	0:777	0:56,1:6,20:5,21:1,22:9,23:22,24:48,25:96,26:174,27:182,28:118,29:51,30:9	721	0	56	0.0000	24.2909

# mix read-level classification using nearest unique reference sequence
read_number	d_exo	d_endo	classification
1	30	29	endo
2	0	28	exo
3	0	0	tie
4	0	26	exo
5	26	27	exo
6	0	25	exo
7	25	27	exo
8	29	25	endo
9	25	0	endo
10	0	27	exo
11	30	29	endo
12	25	23	endo
13	24	28	exo
14	0	28	exo
15	29	29	tie
16	25	23	endo
17	29	28	endo
18	29	22	endo
19	28	0	endo
20	0	26	exo
21	23	27	exo
22	24	0	endo
23	31	0	endo
24	0	0	tie
25	0	26	exo
26	25	23	endo
27	24	25	exo
28	27	29	exo
29	0	27	exo
30	30	27	endo
31	0	0	tie
32	26	0	endo
33	29	27	endo
34	0	29	exo
35	31	26	endo
36	0	28	exo
37	0	0	tie
38	28	0	endo
39	29	29	tie
40	31	28	endo
41	26	25	endo
42	0	28	exo
43	28	27	endo
44	26	0	endo
45	31	27	endo
46	28	0	endo
47	24	27	exo
48	26	29	exo
49	28	29	exo
50	25	27	exo
51	0	29	exo
52	28	28	tie
53	28	27	endo
54	1	27	exo
55	25	0	endo
56	0	28	exo
57	0	25	exo
58	0	30	exo
59	27	28	exo
60	27	0	endo
61	0	25	exo
62	0	27	exo
63	0	27	exo
64	0	23	exo
65	0	27	exo
66	28	0	endo
67	0	30	exo
68	0	0	tie
69	0	29	exo
70	0	0	tie
71	0	24	exo
72	25	28	exo
73	25	28	exo
74	0	27	exo
75	26	26	tie
76	27	0	endo
77	0	26	exo
78	0	27	exo
79	0	28	exo
80	27	25	endo
81	24	24	tie
82	22	0	endo
83	25	0	endo
84	0	27	exo
85	30	29	endo
86	0	24	exo
87	23	0	endo
88	0	26	exo
89	0	27	exo
90	0	22	exo
91	0	28	exo
92	0	24	exo
93	30	0	endo
94	0	0	tie
95	24	29	exo
96	0	26	exo
97	27	27	tie
98	30	28	endo
99	25	26	exo
100	25	27	exo
101	27	27	tie
102	32	30	endo
103	27	30	exo
104	27	0	endo
105	0	29	exo
106	0	26	exo
107	30	0	endo
108	26	27	exo
109	22	0	endo
110	25	25	tie
111	29	29	tie
112	0	27	exo
113	0	25	exo
114	28	26	endo
115	28	29	exo
116	25	28	exo
117	29	28	endo
118	26	28	exo
119	29	28	endo
120	0	27	exo
121	0	1	exo
122	28	27	endo
123	0	24	exo
124	29	29	tie
125	29	0	endo
126	25	26	exo
127	24	28	exo
128	26	27	exo
129	27	0	endo
130	28	0	endo
131	0	26	exo
132	28	27	endo
133	0	27	exo
134	26	0	endo
135	25	23	endo
136	1	26	exo
137	0	26	exo
138	0	29	exo
139	25	27	exo
140	0	24	exo
141	27	0	endo
142	26	26	tie
143	0	28	exo
144	0	24	exo
145	0	29	exo
146	21	26	exo
147	25	25	tie
148	27	29	exo
149	29	28	endo
150	30	30	tie
151	29	29	tie
152	27	28	exo
153	25	25	tie
154	24	23	endo
155	26	24	endo
156	0	26	exo
157	24	28	exo
158	23	27	exo
159	0	30	exo
160	27	29	exo
161	27	25	endo
162	27	0	endo
163	28	27	endo
164	0	26	exo
165	0	24	exo
166	23	25	exo
167	23	26	exo
168	0	0	tie
169	0	25	exo
170	31	0	endo
171	0	25	exo
172	26	25	endo
173	25	23	endo
174	27	26	endo
175	25	26	exo
176	29	0	endo
177	25	26	exo
178	28	0	endo
179	0	25	exo
180	25	0	endo
181	29	0	endo
182	0	27	exo
183	23	0	endo
184	30	0	endo
185	0	29	exo
186	0	23	exo
