method	k	silhouette	sizes	PC1_variance	PC2_variance	primary_cluster1	primary_cluster2
cor_top500	2	0.885093545972067	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top500	3	0.503457819650378	2,3,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top500	4	0.352700010654966	1,2,3,3	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top1000	2	0.884834914503811	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top1000	3	0.484897552079997	2,3,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top1000	4	0.330461219399264	1,2,3,3	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top2000	2	0.870044576653148	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top2000	3	0.510167990706936	2,3,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top2000	4	0.362771473327975	1,2,3,3	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top5000	2	0.842386172155815	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top5000	3	0.578251091219779	1,4,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top5000	4	0.417558536072058	1,1,3,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top10000	2	0.808447383485075	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top10000	3	0.569896192195688	1,4,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
cor_top10000	4	0.408502094256118	1,1,3,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
pca_ward	2	0.6371648335055	4,5	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
pca_ward	3	0.509057381950973	1,4,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
pca_ward	4	0.497113372764913	1,2,2,4	0.739914539831069	0.0637548118375693	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7
