gene	mean_log_cluster1	mean_log_cluster2	log2_effect_cluster2_minus_1	raw_TPM_fold_cluster2_over_1	welch_p
SERPINB4	11.5462353849431	0.671207162021415	-10.8750282229217	0.000225232509394277	3.37637449380363e-08
S100A7A	10.4917932459489	0.430338119741955	-10.061455126207	0.000283247945351505	4.64614889937992e-06
S100A9	13.8835926763773	3.822388539647	-10.0612041367303	0.000932596768322351	2.64912775354826e-05
SPRR2A	10.3892556749783	0.49466329761287	-9.8945923773654	0.000401940853314084	1.25896401473501e-08
S100A8	13.5038487151462	3.6276692999122	-9.87617941523404	0.00103996361899662	2.3205452471883e-05
S100A7	12.7613346741873	3.02306385631779	-9.73827081786955	0.00115405555749462	5.23606003715684e-05
PI3	10.299267672603	1.47877973773496	-8.82048793486801	0.00156886825756896	5.87071563149452e-07
DEFB4A	8.73056950680694	0.170784960707196	-8.55978454609974	0.000451869181292589	2.39309324092492e-05
SPRR2B	8.76845632638434	0.541466838358249	-8.22698948802609	0.00136180471558012	2.40521446398259e-07
SPRR2F	8.294965210163	0.159565146880958	-8.13540006328205	0.000593453220723001	3.0923940510312e-05
TCN1	8.13352339282813	0.115075478191365	-8.01844791463676	0.000563472315631973	3.378738770756e-05
KRT6C	10.3181270062123	2.3503494047485	-7.96777760146377	0.00360011830610483	4.33636965894507e-05
HEPHL1	9.46847610539442	1.52017933419691	-7.94829677119751	0.00278099821035118	4.83591321734097e-07
RHCG	8.49421285835447	0.947208412406051	-7.54700444594842	0.00314925123884459	4.11774969328819e-06
SERPINB3	11.2525851824567	4.04204418891011	-7.21054099354657	0.00637605360601806	1.1684994267206e-07
KRT16	12.8800956793621	5.84480674316396	-7.03528893619813	0.0082930117402069	6.47775755195344e-05
SPRR2D	9.53740625837911	3.08887274591098	-6.44853351246813	0.0131999717895523	0.000877851762531486
TMPRSS11D	6.76374769573414	0.469573216706274	-6.29417447902786	0.00394826924421272	4.66713444606163e-05
KRT6A	13.8371524934419	7.69402748014075	-6.14312501330114	0.0156488437186212	0.00026594377965049
G25746	0.580797864914473	6.58362318518953	6.00282532027505	142.107712237549	3.61583050385098e-07
LCE3E	7.31359605022958	1.32746353983767	-5.98613251039191	0.0106397361538645	3.61563615541574e-06
AKR1B10	8.28640628796314	2.30610262372535	-5.98030366423779	0.0151401502581427	0.000683080020413419
IFI27	9.02496998736486	3.09216433829052	-5.93280564907434	0.0163101315268661	6.84527527798846e-05
LCE3A	6.00564412558426	0.151182438966944	-5.85446168661732	0.00330318979973354	1.61982744986922e-07
LCE3D	8.47169216479103	2.64263748624803	-5.829054678543	0.017663227539636	0.000394499594456355
SPRR2G	9.63470740933807	3.82141919001132	-5.81328821932675	0.0229139919917963	0.00243775310661991
LCN2	7.58932985841435	1.7890741633692	-5.80025569504515	0.0134599762350471	1.56566539270453e-06
ATP12A	8.27277079611137	2.49801539351527	-5.7747554025961	0.0207586071702799	0.00167785087797917
BTC	0.989690582190619	6.6489645883015	5.65927400611088	88.372852329492	3.49917489465663e-08
GDA	7.19922147173395	1.55249782096254	-5.64672365077141	0.0210656520565861	0.00276251505233511
GJB2	11.8664224898536	6.34036701428921	-5.52605547556441	0.0210567142831362	8.84801713544535e-08
IL36A	5.52061593251213	0.0239928610279689	-5.49662307148416	0.00235836432866398	5.0536867484542e-05
IL36G	9.01104796907234	3.56824384307446	-5.44280412599788	0.0229356897947008	0.00020867328608113
SLC6A14	9.07758726050142	3.67814069112396	-5.39944656937746	0.0240578616187059	0.000152977552673672
KRT77	3.26625688423604	8.63200114923424	5.3657442649982	46.7632351209011	0.000143469237207637
