metric	value
input_chr1_records	119566
pilot_input_sites	2431
input_pilot_variants	2431
reference_pilot_variants	2084
common_variants	2082

query_sample	rank	mismatching_genotypes	abs_dosage_difference	compared_sites	nearest_reference_sample	reference_superpopulation
Sample1	1	565	630.0	2082	HG03557	AFR
Sample1	2	605	645.0	2082	HG02314	AFR
Sample1	3	606	664.0	2082	NA19197	AFR
Sample1	4	626	641.0	2082	NA19041	AFR
Sample1	5	632	711.0	2082	HG02646	AFR
Sample2	1	585	620.0	2082	HG03061	AFR
Sample2	2	589	606.0	2082	NA19390	AFR
Sample2	3	594	619.0	2082	HG03342	AFR
Sample2	4	602	641.0	2082	HG02583	AFR
Sample2	5	604	640.0	2082	NA19701	AFR
Sample3	1	37	38.0	2082	HG02724	SAS
Sample3	2	567	626.0	2082	HG01167	AMR
Sample3	3	584	586.0	2082	HG00190	EUR
Sample3	4	593	605.0	2082	HG02733	SAS
Sample3	5	613	655.0	2082	HG00252	EUR
Sample4	1	28	30.0	2082	HG00190	EUR
Sample4	2	581	584.0	2082	HG02724	SAS
Sample4	3	598	608.0	2082	HG00178	EUR
Sample4	4	615	636.0	2082	HG00332	EUR
Sample4	5	623	669.0	2082	HG03634	SAS
