metric	value
input_chr1_records	119566
pilot_input_sites	2431
input_pilot_variants	2431
reference_pilot_variants	2084
common_variants	0

query_sample	rank	mismatching_genotypes	abs_dosage_difference	compared_sites	nearest_reference_sample	reference_superpopulation
Sample1	1	0	0.0	0	HG00096	EUR
Sample1	2	0	0.0	0	HG00097	EUR
Sample1	3	0	0.0	0	HG00099	EUR
Sample1	4	0	0.0	0	HG00100	EUR
Sample1	5	0	0.0	0	HG00101	EUR
Sample2	1	0	0.0	0	HG00096	EUR
Sample2	2	0	0.0	0	HG00097	EUR
Sample2	3	0	0.0	0	HG00099	EUR
Sample2	4	0	0.0	0	HG00100	EUR
Sample2	5	0	0.0	0	HG00101	EUR
Sample3	1	0	0.0	0	HG00096	EUR
Sample3	2	0	0.0	0	HG00097	EUR
Sample3	3	0	0.0	0	HG00099	EUR
Sample3	4	0	0.0	0	HG00100	EUR
Sample3	5	0	0.0	0	HG00101	EUR
Sample4	1	0	0.0	0	HG00096	EUR
Sample4	2	0	0.0	0	HG00097	EUR
Sample4	3	0	0.0	0	HG00099	EUR
Sample4	4	0	0.0	0	HG00100	EUR
Sample4	5	0	0.0	0	HG00101	EUR
