metric	value
input_candidates_with_shared_rsids	105679
target_markers	500
successful_ensembl_responses	495
response_errors	5
markers_with_all_AFR_ASJ_EUR_EAS_MID_SAS_frequencies	481
frequency_source	gnomAD genomes preferred, exomes fallback
scoring	conditional genotype likelihood given non-reference ascertainment

sample	call	AFR	ASJ	EUR	EAS	MID	SAS	used_markers
Sample1	AFR	-238.8315	-351.3736	-360.0963	-422.6919	-328.0075	-344.6698	481
Sample2	AFR	-241.8214	-342.6901	-346.9653	-391.5819	-319.1936	-337.5857	481
Sample3	SAS	-272.7272	-238.2392	-240.9214	-249.4100	-239.5982	-219.6271	481
Sample4	EUR	-287.8542	-224.6309	-221.4278	-286.6415	-233.6541	-232.6201	481

failed_rsid	error
rs274585	The read operation timed out
rs4233303	HTTP Error 500: Internal Server Error
rs4655380	HTTP Error 500: Internal Server Error
rs1538545	HTTP Error 500: Internal Server Error
rs4655434	HTTP Error 500: Internal Server Error
