guide	target_gene
SCAF4-I4	SCAF4
LEO1-I2	LEO1
NUDT21-I3	NUDT21
PABPC1-I1	PABPC1
CPSF1-I3	CPSF1
LEO1-I2	LEO1
CSTF3-I5	CSTF3
NT-I3	NT
LEO1-I2	LEO1
NT-I7	NT
CSTF1-I5	CSTF1
CSTF3-I5	CSTF3
CPSF6-I5	CPSF6
CPSF6-I5	CPSF6
RBBP6-I4	RBBP6
LEO1-I2	LEO1
LEO1-I2	LEO1
SCAF11-I3	SCAF11
CPSF3-I3	CPSF3
LEO1-I2	LEO1
NT-I6	NT
CPSF3-I3	CPSF3
NT-I3	NT
NT-I2	NT
CPSF1-I3	CPSF1
CPSF4-I8	CPSF4
RBBP6-I4	RBBP6
CPSF3-I3	CPSF3
CPSF7-I1	CPSF7
NT-I1	NT
RBBP6-I4	RBBP6
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
NT-I4	NT
CPSF1-I3	CPSF1
PCF11-I5	PCF11
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
NT-I8	NT
NT-I8	NT
PAPOLA-I3	PAPOLA
NT-I7	NT
PABPC1-I1	PABPC1
NUDT21-I3	NUDT21
SCAF8-I3	SCAF8
NT-I9	NT
RPRD1B-I1	RPRD1B
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
CPSF4-I8	CPSF4
NT-I2	NT
CPSF7-I1	CPSF7
NT-I3	NT
RPRD1B-I1	RPRD1B
PABPC1-I1	PABPC1
NT-I7	NT
CSTF3-I5	CSTF3
PHF3-I5	PHF3
RBBP6-I4	RBBP6
NT-I10	NT
NT-I7	NT
NT-I10	NT
SCAF11-I3	SCAF11
CPSF7-I1	CPSF7
NUDT21-I3	NUDT21
LEO1-I2	LEO1
CPSF1-I3	CPSF1
RPRD1B-I1	RPRD1B
FIP1L1-I1	FIP1L1
CPSF2-I1	CPSF2
RPRD1A-I5	RPRD1A
LEO1-I2	LEO1
NT-I2	NT
NT-I9	NT
NT-I5	NT
PABPC1-I1	PABPC1
THOC5-I1	THOC5
SCAF8-I3	SCAF8
PHF3-I5	PHF3
CDC73-I2	CDC73
NT-I5	NT
SCAF1-I2	SCAF1
SCAF4-I4	SCAF4
SCAF4-I4	SCAF4
RPRD1A-I5	RPRD1A
PHF3-I5	PHF3
CTR9-I7	CTR9
PAPOLA-I3	PAPOLA
NT-I2	NT
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
FIP1L1-I1	FIP1L1
FIP1L1-I1	FIP1L1
PAPOLA-I3	PAPOLA
NT-I3	NT
CPSF1-I3	CPSF1
SCAF1-I2	SCAF1
CDC73-I2	CDC73
SCAF11-I3	SCAF11
SCAF8-I3	SCAF8
NT-I7	NT
RPRD1B-I1	RPRD1B
SCAF8-I3	SCAF8
CPSF2-I1	CPSF2
NT-I9	NT
NT-I10	NT
NUDT21-I3	NUDT21
RPRD1A-I5	RPRD1A
CSTF3-I5	CSTF3
RPRD1A-I5	RPRD1A
RBBP6-I4	RBBP6
SCAF4-I4	SCAF4
CDC73-I2	CDC73
CSTF3-I5	CSTF3
PAPOLA-I3	PAPOLA
SCAF8-I3	SCAF8
SCAF4-I4	SCAF4
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
PHF3-I5	PHF3
NUDT21-I3	NUDT21
CPSF2-I1	CPSF2
NT-I1	NT
NT-I5	NT
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
NT-I10	NT
