guide	target_gene
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CDC73-I2	CDC73
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
