dataset	shape	guide_categories
ref	(4183, 11889)	43
query	(3516, 11889)	42
gene_names	ref=11889	query=11889	common=11858
ref_only_genes	CPSF1,CPSF2,CPSF3,CPSF4,CPSF6,CPSF7,CSTF1,CSTF2,CSTF3,CTR9,FIP1L1,LEO1,NUDT21,PABPC1,PABPN1,PAF1,PAPOLA,PCF11,PHF3,RBBP6,RPAP2,RPRD1A,RPRD1B,SCAF1,SCAF11,SCAF4,SCAF8,SF3A1,SRSF3,SYMPK,THOC5
query_only_genes	ADAMTS3,ADCK2,AP004609.3,ASCC1,BAIAP2,DCTN4,DGUOK-AS1,DHRS11,EFCAB11,ENDOV,GPALPP1,HCFC1,HEXD,IFIT3,IFT80,IL10RB,KATNB1,LINC01970,MAP4K2,MBD5,MIER1,PGS1,PUS7L,RFC5,RN7SL832P,SAMD8,SETD1A,SULT1A3,TMEM134,TMEM80,ZDHHC3
ref_first_genes	AL627309.5,LINC01409,LINC01128,LINC00115,FAM41C,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,SDF4,B3GALT6,UBE2J2,ACAP3,PUSL1,INTS11,CPTP,DVL1
query_first_genes	AL627309.5,LINC01409,LINC01128,LINC00115,FAM41C,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,SDF4,B3GALT6,UBE2J2,ACAP3,PUSL1,INTS11,CPTP,DVL1
target_gene	var_index	ref_annotated_guide
PABPC1	ref=[4981] query=[]	PABPC1-I1
NUDT21	ref=[8714] query=[]	NUDT21-I3
LEO1	ref=[8097] query=[]	LEO1-I2

dataset	guide	cells	mean_library	PABPC1_raw	PABPC1_log1p_norm	PABPC1_detected	NUDT21_raw	NUDT21_log1p_norm	NUDT21_detected	LEO1_raw	LEO1_log1p_norm	LEO1_detected
ref	NT-I1	69	29117.16	12.9130	1.575588	0.9855	2.3913	0.544829	0.8551	1.1014	0.270296	0.6232
ref	NT-I10	180	30188.37	12.0778	1.551356	1.0000	2.2389	0.509077	0.8500	1.3778	0.334842	0.7000
ref	NT-I2	90	28357.92	12.5222	1.632823	1.0000	2.5556	0.600149	0.8667	1.0556	0.279761	0.6333
ref	NT-I3	87	29934.83	12.3448	1.545392	0.9885	2.4943	0.575727	0.8966	1.5287	0.366452	0.7356
ref	NT-I4	57	28523.98	11.6667	1.526527	0.9649	2.3333	0.532216	0.8772	1.0526	0.285915	0.6140
ref	NT-I5	63	29046.57	12.0159	1.557148	0.9841	1.8889	0.459610	0.9048	1.1746	0.291624	0.6190
ref	NT-I6	128	29134.95	12.1719	1.578522	0.9922	2.3672	0.528471	0.8125	1.3125	0.320648	0.6875
ref	NT-I7	88	29194.72	12.0682	1.554544	0.9886	2.3523	0.541986	0.8295	1.2727	0.315163	0.6705
ref	NT-I8	74	27102.76	11.0811	1.549573	0.9865	2.0405	0.524795	0.8378	1.1892	0.297823	0.6081
ref	NT-I9	86	30295.33	12.2907	1.566710	1.0000	2.3837	0.520232	0.8605	1.3372	0.325513	0.7209
ref	CDC73-I2	77	17981.62	6.8571	1.449099	0.9610	1.4545	0.473348	0.7013	0.8701	0.312271	0.5065
ref	CPSF1-I3	306	14601.29	4.5294	1.236785	0.9346	0.9314	0.405560	0.5719	0.6176	0.265392	0.4085
ref	CPSF2-I1	151	17755.58	5.6358	1.275704	0.9470	1.2252	0.455196	0.6623	0.8212	0.304694	0.5033
ref	CPSF3-I3	125	15841.48	4.7600	1.186961	0.9120	1.0480	0.432513	0.6240	0.6400	0.257746	0.4240
