section	target	ref_position	query_gene_at_position	field5	field6	field7	field8	field9
feature	PABPC1	4981	RNF19A	ref_guide_target_effect	query_guide_position_effect	query_guide	query_position_mean	query_position_effect
ref_target	PABPC1	4981	RNF19A	PABPC1-I1	NA	PABPC1-I1	0.582368	-0.982416
low_effect	PABPC1	4981	RNF19A	NA	1	guide15	0.000000	-0.069825
low_effect	PABPC1	4981	RNF19A	NA	2	guide25	0.000000	-0.069825
low_effect	PABPC1	4981	RNF19A	NA	3	guide32	0.000000	-0.069825
low_effect	PABPC1	4981	RNF19A	NA	4	guide22	0.029360	-0.040465
low_effect	PABPC1	4981	RNF19A	NA	5	guide3	0.033512	-0.036313
low_effect	PABPC1	4981	RNF19A	NA	6	guide12	0.044244	-0.025581
low_effect	PABPC1	4981	RNF19A	NA	7	guide24	0.049538	-0.020287
low_effect	PABPC1	4981	RNF19A	NA	8	guide14	0.056447	-0.013378
feature	NUDT21	8714	AMFR	ref_guide_target_effect	query_guide_position_effect	query_guide	query_position_mean	query_position_effect
ref_target	NUDT21	8714	AMFR	NUDT21-I3	NA	NUDT21-I3	0.091749	-0.441369
low_effect	NUDT21	8714	AMFR	NA	1	guide22	0.000000	-0.132057
low_effect	NUDT21	8714	AMFR	NA	2	guide32	0.000000	-0.132057
low_effect	NUDT21	8714	AMFR	NA	3	guide20	0.047260	-0.084796
low_effect	NUDT21	8714	AMFR	NA	4	guide26	0.054281	-0.077776
low_effect	NUDT21	8714	AMFR	NA	5	guide30	0.060153	-0.071904
low_effect	NUDT21	8714	AMFR	NA	6	guide12	0.080451	-0.051606
low_effect	NUDT21	8714	AMFR	NA	7	guide19	0.082317	-0.049740
low_effect	NUDT21	8714	AMFR	NA	8	guide3	0.084507	-0.047550
feature	LEO1	8097	TMOD2	ref_guide_target_effect	query_guide_position_effect	query_guide	query_position_mean	query_position_effect
ref_target	LEO1	8097	TMOD2	LEO1-I2	NA	LEO1-I2	0.034023	-0.279927
low_effect	LEO1	8097	TMOD2	NA	1	guide12	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	2	guide16	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	3	guide25	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	4	guide26	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	5	guide27	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	6	guide29	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	7	guide30	0.000000	-0.033777
low_effect	LEO1	8097	TMOD2	NA	8	guide32	0.000000	-0.033777
