rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Microbe_Perturbations_from_GEO_up	Chlamydia pneumoniae mouse lungs GDS2650 microbe:264	27/332	5.475853845280498e-24	1.6865629843463934e-21	20.395024108003856	1092.3920406981492	IFITM1;RNH1;CLEC4N;MS4A6D;SOCS3;ZFP36;LDHA;CFL1;CCRL2;TSPO;SRGN;CD53;EIF5A;PRKCD;MT1;FOS;PDIA6;PSMB8;MANF;RNF149;NINJ1;DNAJB11;LY6A;TGFBI;CALR;LGMN;C1QC
2	Microbe_Perturbations_from_GEO_up	Influenza A mouse blood, 1 day post-infection GSE57384 microbe:299	21/324	9.905575713010751e-17	1.3524910224502021e-14	14.916222391469915	549.675455701444	SRGN;CD53;IFITM1;BTG2;IFITM2;NCF1;H2-DMA;MCEMP1;FOS;HSD17B10;LMNB1;ZFP36;SMDT1;DAD1;RNF149;CCRL2;MYADM;TXNIP;LY6A;WFDC17;TGFBI
3	Microbe_Perturbations_from_GEO_up	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:186	22/374	1.3173613855034434e-16	1.3524910224502021e-14	13.566666666666666	496.0750798605305	SRGN;EIF5A;DDX39;PTPN1;PRELID1;XBP1;RNH1;ATP5G1;PSMB8;MANF;SOCS3;LDHA;PSMB5;EIF6;FABP5;CFL1;DNAJB11;LY6A;TGFBI;CALR;CRELD2;LGMN
4	Microbe_Perturbations_from_GEO_up	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:185	22/396	4.3598266982086443e-16	3.3570665576206557e-14	12.754248366013073	451.1041071946457	SRGN;EIF5A;DDX39;PTPN1;PRELID1;XBP1;SSR2;MT1;ATP5G1;PSMB8;MANF;LDHA;PSMB5;EIF6;FABP5;CFL1;DNAJB11;LY6A;TGFBI;CALR;CRELD2;LGMN
5	Microbe_Perturbations_from_GEO_up	Burkholderia pseudomallei mouse blood GSE61106 microbe:283	22/407	7.716521704252739e-16	4.753377369819687e-14	12.382857142857144	430.89863539002215	SRGN;CDKN2D;PTPN1;XBP1;IFITM2;CLEC4N;GPR35;MVP;SCIMP;MS4A6D;LMNB1;SOCS3;ZFP36;TSPAN13;SPINT1;CCRL2;BCL3;TSPO;CD38;CRELD2;FKBP5;GPR146
6	Microbe_Perturbations_from_GEO_up	Influenza A mouse blood, 7 days post-infection GSE57384 microbe:305	21/372	1.5911800716640145e-15	8.168057701208608e-14	12.844838921762	437.6789009155997	LYN;SRGN;CD53;IFITM1;PRELID1;BTG2;IFITM2;NCF1;H2-DMA;CD180;MCEMP1;FOS;PSMB8;LMNB1;ZFP36;SMDT1;CCRL2;MYADM;CD38;LY6A;WFDC17
7	Microbe_Perturbations_from_GEO_up	Influenza A mouse blood, 4 days post-infection GSE57384 microbe:302	21/391	4.284965568586006e-15	1.7941345159949537e-13	12.173388773388773	402.7403024378011	LYN;SRGN;CD53;IFITM1;IFITM2;H2-DMA;CD180;SDC3;CYBB;MCEMP1;LMNB1;LSM12;ZFP36;SMDT1;LAMP2;CCRL2;MYADM;CD38;LY6A;WFDC17;C1QC
8	Microbe_Perturbations_from_GEO_up	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:187	20/346	5.131563562906695e-15	1.7941345159949537e-13	13.044811949853294	429.2182219099124	SRGN;EIF5A;DDX39;PTPN1;XBP1;IFITM2;MT1;ATP5G1;PSMB8;MANF;SOCS3;LDHA;PSMB5;EIF6;FABP5;LY6A;TGFBI;CALR;CRELD2;LGMN
9	Microbe_Perturbations_from_GEO_up	Toxoplasma gondii mouse RAW264.7 macrophage cells GDS4941 microbe:207	21/395	5.242600858426813e-15	1.7941345159949537e-13	12.040723981900452	395.922588362108	SRGN;CD53;IFITM1;BTG2;CLEC4N;GPR35;MT1;FOS;CST7;EPS8;NR4A2;SOCS3;NR4A1;ZFP36;NR4A3;CASP6;ID2;CCRL2;BCL3;PMAIP1;FYN
10	Microbe_Perturbations_from_GEO_up	Influenza A mouse lung, 4 days post-infection GSE57452 microbe:311	21/401	7.0648459662273535e-15	2.175972557598025e-13	11.846963562753036	386.0172572055525	LYN;SRGN;IFITM1;BTG2;IFITM2;MCEMP1;FOS;MS4A6D;PSMB8;LMNB1;ZFP36;TSPAN13;FABP5;RNF149;GPR171;LAMP2;CCRL2;LY6A;WFDC17;TGFBI;LGMN
