group	ortholog	rcv
animal	1001705at2759	0.0
animal	1003258at2759	0.1835
animal	100698at2759	0.049
animal	1010730at2759	0.1156
animal	1014314at2759	0.1129
animal	1018517at2759	0.0827
animal	1019762at2759	0.1093
animal	1025450at2759	0.0
animal	1030907at2759	0.0
animal	1032689at2759	0.0
animal	1038775at2759	0.1452
animal	1041560at2759	0.108
animal	1049599at2759	0.0723
animal	1051021at2759	0.1093
animal	1053181at2759	0.1091
animal	1065019at2759	0.1178
animal	1076134at2759	0.0
animal	1079130at2759	0.0943
animal	1079827at2759	0.1002
animal	1085752at2759	0.1226
animal	1087488at2759	0.0
animal	1090038at2759	0.0
animal	1094121at2759	0.1816
animal	1096688at2759	0.1508
animal	1106766at2759	0.0
animal	1107630at2759	0.0
animal	1108845at2759	0.0
animal	1111142at2759	0.1152
animal	1112002at2759	0.1319
animal	1128607at2759	0.0496
animal	1129824at2759	0.1883
animal	1138059at2759	0.0881
animal	1157302at2759	0.058
animal	1161199at2759	0.1485
animal	1173229at2759	0.145
animal	1178688at2759	0.1287
animal	1182451at2759	0.0
animal	1193442at2759	0.1239
animal	1194691at2759	0.0814
animal	1194797at2759	0.0853
animal	1197019at2759	0.0
animal	1200489at2759	0.1648
animal	1217666at2759	0.0955
animal	1220881at2759	0.1472
animal	1222562at2759	0.1586
animal	1223488at2759	0.0
animal	1228942at2759	0.2087
animal	1236198at2759	0.0
animal	1247641at2759	0.0
animal	1248958at2759	0.0749
animal	1249159at2759	0.124
animal	1251252at2759	0.164
animal	1257440at2759	0.0984
animal	1258856at2759	0.1078
animal	1259741at2759	0.1309
animal	1260807at2759	0.112
animal	1264469at2759	0.1768
animal	1266231at2759	0.1039
animal	1269244at2759	0.1292
animal	1269649at2759	0.1323
animal	1275837at2759	0.0838
animal	1284731at2759	0.2289
animal	1287094at2759	0.1215
animal	1287401at2759	0.1064
animal	1291729at2759	0.134
animal	1304061at2759	0.0921
animal	1309031at2759	0.0
animal	1312453at2759	0.0
animal	1314980at2759	0.0
animal	1322299at2759	0.0
animal	1322642at2759	0.1105
animal	1323575at2759	0.2386
animal	1324510at2759	0.0
animal	1338131at2759	0.1138
animal	1339553at2759	0.1215
animal	1342242at2759	0.1979
animal	1346165at2759	0.1438
animal	1346432at2759	0.1102
animal	1348942at2759	0.0855
animal	1355894at2759	0.1317
animal	1358374at2759	0.0989
animal	1364586at2759	0.1525
animal	1370285at2759	0.1357
animal	1370304at2759	0.0
animal	1377237at2759	0.0
animal	1379600at2759	0.0752
animal	1380409at2759	0.1196
animal	1382842at2759	0.1534
animal	1395649at2759	0.0
animal	1398309at2759	0.0
animal	1404162at2759	0.1888
animal	1405073at2759	0.0993
animal	1405146at2759	0.1174
animal	1407446at2759	0.2147
animal	1421503at2759	0.1554
animal	1423847at2759	0.1017
animal	142542at2759	0.0
animal	1426075at2759	0.0
animal	1428265at2759	0.0
animal	1428854at2759	0.0855
animal	1430056at2759	0.0
animal	1432328at2759	0.0962
animal	1434266at2759	0.1444
animal	1440961at2759	0.0
animal	1441854at2759	0.1531
animal	1442062at2759	0.2971
animal	1445102at2759	0.1089
animal	1450538at2759	0.0
animal	1454155at2759	0.1502
animal	1455730at2759	0.0684
animal	1459797at2759	0.1155
animal	1474000at2759	0.1157
animal	1488235at2759	0.1292
animal	1488436at2759	0.1248
animal	1490022at2759	0.0
animal	1504863at2759	0.1426
animal	1513531at2759	0.1141
animal	1525971at2759	0.2166
animal	1526152at2759	0.1807
animal	1530008at2759	0.0
animal	1538526at2759	0.1422
animal	1545004at2759	0.1077
animal	1552706at2759	0.1117
animal	1558822at2759	0.1209
animal	156083at2759	0.0158
animal	1563319at2759	0.0
animal	1567796at2759	0.1707
animal	1575179at2759	0.0841
animal	1576404at2759	0.0
animal	1588798at2759	0.1687
animal	1593937at2759	0.0
animal	160593at2759	0.0575
animal	1617752at2759	0.1308
animal	1620056at2759	0.2041
animal	1626636at2759	0.0879
animal	1633672at2759	0.1351
animal	1645187at2759	0.1485
animal	166920at2759	0.0
animal	176625at2759	0.1504
animal	179362at2759	0.0
animal	245208at2759	0.0
animal	257318at2759	0.0
animal	261328at2759	0.0
animal	271586at2759	0.1026
animal	290630at2759	0.0847
animal	293315at2759	0.0
animal	296129at2759	0.0513
animal	299766at2759	0.0
animal	306227at2759	0.0725
animal	320059at2759	0.0386
animal	324863at2759	0.0928
animal	325552at2759	0.0
animal	330169at2759	0.107
animal	331411at2759	0.0722
animal	341721at2759	0.0842
animal	345441at2759	0.0
animal	355408at2759	0.0323
animal	369837at2759	0.1123
animal	375960at2759	0.1088
animal	383503at2759	0.0849
animal	388820at2759	0.107
animal	390348at2759	0.041
animal	39650at2759	0.0597
animal	396755at2759	0.0619
animal	418107at2759	0.0745
animal	426305at2759	0.1339
animal	450058at2759	0.0
animal	453044at2759	0.0892
animal	457861at2759	0.0
animal	464990at2759	0.0
animal	491869at2759	0.1223
animal	513979at2759	0.0
animal	543764at2759	0.1358
animal	549762at2759	0.0
animal	551907at2759	0.0915
animal	570797at2759	0.1321
animal	582756at2759	0.1367
animal	598949at2759	0.0
animal	604979at2759	0.0
animal	621827at2759	0.0791
animal	655400at2759	0.132
animal	664730at2759	0.0871
animal	671536at2759	0.0
animal	673132at2759	0.1304
animal	674160at2759	0.0778
animal	674169at2759	0.1457
animal	679771at2759	0.0722
animal	687505at2759	0.0715
animal	692986at2759	0.0
animal	708105at2759	0.0738
animal	719531at2759	0.0958
animal	720340at2759	0.0836
animal	721605at2759	0.1296
animal	734341at2759	0.0
animal	734666at2759	0.0827
animal	736068at2759	0.0
animal	751335at2759	0.0
animal	759498at2759	0.1285
animal	761109at2759	0.1301
animal	768809at2759	0.0
animal	777920at2759	0.0811
animal	779909at2759	0.0
animal	801857at2759	0.0
animal	814241at2759	0.0813
animal	817008at2759	0.0
animal	834694at2759	0.0
animal	836599at2759	0.082
animal	83779at2759	0.1665
animal	844748at2759	0.1453
animal	855834at2759	0.0967
animal	858842at2759	0.0
animal	865202at2759	0.0675
animal	866359at2759	0.0586
animal	869548at2759	0.15
animal	878143at2759	0.0
animal	87842at2759	0.0741
animal	887370at2759	0.0531
animal	891751at2759	0.1713
animal	898782at2759	0.1244
animal	901894at2759	0.1041
animal	905026at2759	0.0957
animal	911863at2759	0.0961
animal	917326at2759	0.0
animal	919955at2759	0.0827
animal	923657at2759	0.088
animal	924753at2759	0.1043
animal	931188at2759	0.0914
animal	937275at2759	0.0
animal	937686at2759	0.0868
animal	939345at2759	0.0
animal	944899at2759	0.0827
animal	946128at2759	0.0
animal	956854at2759	0.0
animal	97116at2759	0.0
animal	973442at2759	0.1341
animal	974865at2759	0.0995
animal	975158at2759	0.0864
animal	975557at2759	0.0
animal	976469at2759	0.1221
animal	981902at2759	0.089
animal	996662at2759	0.0948
fungal	1001705at2759	0.1903
fungal	1003258at2759	0.3038
fungal	100698at2759	0.088
fungal	1010730at2759	0.2409
fungal	1014314at2759	0.226
fungal	1018517at2759	0.1193
fungal	1019762at2759	0.2398
fungal	1025450at2759	0.1948
fungal	1030907at2759	0.2158
fungal	1032689at2759	0.2058
fungal	1038775at2759	0.1632
fungal	1041560at2759	0.1773
fungal	1049599at2759	0.1747
fungal	1051021at2759	0.2556
fungal	1053181at2759	0.1609
fungal	1057950at2759	0.1724
fungal	1065019at2759	0.1466
fungal	1076134at2759	0.1535
fungal	1079130at2759	0.1358
fungal	1079827at2759	0.0944
fungal	1085752at2759	0.2321
fungal	1087488at2759	0.1979
fungal	1090038at2759	0.2333
fungal	1094121at2759	0.288
fungal	1096688at2759	0.1325
fungal	1106766at2759	0.1461
fungal	1107630at2759	0.2391
fungal	1108845at2759	0.1159
fungal	1111142at2759	0.2478
fungal	1112002at2759	0.1814
fungal	1115196at2759	0.173
fungal	1128607at2759	0.1358
fungal	1129824at2759	0.3094
fungal	1138059at2759	0.129
fungal	1157302at2759	0.0825
fungal	1161199at2759	0.2356
fungal	1173229at2759	0.2171
fungal	1178688at2759	0.1806
fungal	1182451at2759	0.2031
fungal	1193442at2759	0.1513
fungal	1194691at2759	0.168
fungal	1194797at2759	0.1001
fungal	1197019at2759	0.1782
fungal	1200489at2759	0.2358
fungal	1217666at2759	0.1812
fungal	1220881at2759	0.2411
