metric	value
model	johahi/borzoi-replicate-0
model_replicate	0
model_sha256	d839593c3350bc3aea93b7a6d1fc3ce2b1629e0f4322ecb3c6b6743d14932f75
genome	hg38
input_interval	chr1:69993520-70517808
prediction_interval	chr1:70157360-70353968
strand	+
identifier	ENCFF281BWX+
track_index	6068
prediction_shape	1x1x6144
bin_size_bp	32
bin_count	6144
sequence_sha256	65b4e816a655df5d5793a67773a53ed3d330698e01dd950150d61de321a5f2b8
scale	0.3
clip_soft	384.0
power_transform	3/4
bins_above_unscaled_clip	0
squashed_sum	1489.439272575361
total_untransformed_coverage	9381.927219193341
rounded_nearest_10	9380
