bioproject	run_accession	study_accession	experiment_accession	sample_accession	biosample	organism_taxid	organism_name	library_strategy	library_source	library_selection	library_layout	instrument_model	run_total_spots	run_total_bases	release_date	load_date	spots_with_mates	avg_length	size_mb	platform	library_name	sample_name	center_name	submission
PRJNA1339024	SRR35763863	SRP630949	SRX30813164	SRS26825019	SAMN52624397	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	79346	21133174	2025-10-31 03:15:20	2025-10-09 13:22:55	79346	266	7	ILLUMINA	T7544-mock-NT-2-4	T7544-mock-NT-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763864	SRP630949	SRX30813163	SRS26825021	SAMN52624396	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	63845	17520803	2025-10-31 03:15:20	2025-10-09 13:23:05	63845	274	6	ILLUMINA	T7544-mock-LG-2-4	T7544-mock-LG-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763865	SRP630949	SRX30813162	SRS26825022	SAMN52624395	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	87173	23623090	2025-10-31 03:15:20	2025-10-09 13:22:54	87173	270	8	ILLUMINA	T7543-24hr-OST-NT-7-4	T7543-24hr-OST-NT-7-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763866	SRP630949	SRX30813161	SRS26825023	SAMN52624394	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	100257	27559454	2025-10-31 03:15:20	2025-10-09 13:23:07	100257	274	9	ILLUMINA	T7542-48hr-OST-NT-13-5	T7542-48hr-OST-NT-13-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763867	SRP630949	SRX30813160	SRS26825020	SAMN52624393	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	97618	26084593	2025-10-31 03:15:22	2025-10-09 13:23:18	97618	267	8	ILLUMINA	T7538-mock-NT-4-5	T7538-mock-NT-4-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763868	SRP630949	SRX30813159	SRS26825017	SAMN52624392	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	75238	20867346	2025-10-31 03:15:19	2025-10-09 13:23:08	75238	277	7	ILLUMINA	T7535-24hr-OST-NT-6-5	T7535-24hr-OST-NT-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763869	SRP630949	SRX30813158	SRS26825015	SAMN52624391	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	69223	18905752	2025-10-31 03:15:19	2025-10-09 13:23:20	69223	273	6	ILLUMINA	T7535-24hr-OST-LG-6-5	T7535-24hr-OST-LG-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763870	SRP630949	SRX30813157	SRS26825014	SAMN52624390	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	71826	20140533	2025-10-31 03:15:19	2025-10-09 13:23:07	71826	280	6	ILLUMINA	T7534-48hr-OST-NT-15-5	T7534-48hr-OST-NT-15-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763871	SRP630949	SRX30813156	SRS26825016	SAMN52624399	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	85476	23646927	2025-10-31 03:15:21	2025-10-09 13:23:24	85476	276	8	ILLUMINA	T7550-mock-NT-3-5	T7550-mock-NT-3-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763872	SRP630949	SRX30813155	SRS26825018	SAMN52624398	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	77527	21268792	2025-10-31 03:15:20	2025-10-09 13:23:39	77527	274	7	ILLUMINA	T7545-48hr-OST-NT-14-4	T7545-48hr-OST-NT-14-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763873	SRP630949	SRX30813154	SRS26825013	SAMN52624389	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	96090	25910706	2025-10-31 03:15:19	2025-10-09 13:23:17	96090	269	8	ILLUMINA	T7533-mock-NT-1-5	T7533-mock-NT-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
PRJNA1339024	SRR35763874	SRP630949	SRX30813153	SRS26825012	SAMN52624388	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	91086	25378645	2025-10-31 03:15:19	2025-10-09 13:23:06	91086	278	8	ILLUMINA	T7533-mock-LG-1-5	T7533-mock-LG-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655
