marker_cell_type	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
cortex	7.971077	5.930374	5.768871	6.229981	5.277506	5.175271	4.626810	5.327781	6.225360	5.582209
endodermis	5.297814	7.988778	4.681802	5.006020	4.964305	4.188502	4.610523	5.046018	5.043697	5.191461
epidermis	4.875611	4.439667	7.742267	4.464159	4.500612	5.481585	3.757721	6.082339	6.525137	5.573206
meristems	4.524607	4.054976	5.781288	8.359958	4.750274	6.928802	4.123656	4.188717	4.582196	4.762259
pericycle	3.891493	4.260541	3.661785	4.195332	8.136963	5.560311	4.614577	4.088511	4.439701	4.482508
phloem	1.108780	1.054889	1.092622	1.540301	2.423263	9.438453	1.791250	1.330713	1.197585	1.634431
provascular	5.451843	6.261680	4.953896	5.940114	6.949544	5.909994	7.845420	6.425208	5.250100	6.532101
root_cap	3.412536	3.258153	3.867596	3.056216	3.494163	3.478083	2.745264	7.764350	3.667200	4.757881
root_hair	3.090638	2.675577	4.976955	2.489155	3.288399	2.891390	2.501770	4.070074	8.024135	3.011901
xylem	2.880797	3.403415	3.568621	3.228416	3.540758	3.654772	3.705255	6.229213	3.523879	7.865297
