sample	md5	accession	assembly	file_type	output_type	dataset	file_size
HG02571	d709c0152e841bea79d68951b47df427	ENCFF030ITR	GRCh38	bam	alignments	/experiments/ENCSR400ISH/	3494712203
HG02588	e592b054de8903cce5e2fb25f88b1c9e	ENCFF025ITU	GRCh38	bam	alignments	/experiments/ENCSR189VFC/	4652334216
HG02610	7eed78f47dea039f1532eb0605286b18	ENCFF230HVR	GRCh38	bam	alignments	/experiments/ENCSR905PWV/	6641317041
HG02623	2fa733308a2dac4cbfc09dba79c332ea	ENCFF495DQP	GRCh38	bam	alignments	/experiments/ENCSR821JHD/	3499402088
HG02642	4d4e6827add661e394804f575041cd34	ENCFF705PBQ	GRCh38	bam	alignments	/experiments/ENCSR821QHC/	6612252759
HG02678	5cfd6787d8e02211b9cfcf0cdbb3d5a5	ENCFF447ZRG	GRCh38	bam	alignments	/experiments/ENCSR180HEL/	5600174899
HG02759	73e60d0446bdb995b38cf37274c7e7e7	ENCFF687QML	GRCh38	bam	alignments	/experiments/ENCSR144ZXR/	5642019071
HG02763	9fa70b420130ca0150ec6e5d5d27b22e	ENCFF321SNO	GRCh38	bam	alignments	/experiments/ENCSR404OEO/	4259252020
HG02798	3c01ff80f2e0f57aa299fa95b4009119	ENCFF960AXI	GRCh38	bam	alignments	/experiments/ENCSR524CPZ/	8887178378
HG02840	9f3be2a35c75c9b7b0f73290883b1591	ENCFF720BLR	GRCh38	bam	alignments	/experiments/ENCSR854ZBA/	3801439239
HG02852	86d819db9206832fb54853581f63acd1	ENCFF978QLZ	GRCh38	bam	alignments	/experiments/ENCSR368FYV/	4173914994
HG02870	9199c0ad6ff68d19ad66bc5ed20db697	ENCFF358GWK	GRCh38	bam	alignments	/experiments/ENCSR420RVW/	4063224804
HG02884	e39262832afac99d3ae5e436abca0fb3	ENCFF079OKV	GRCh38	bam	alignments	/experiments/ENCSR604YEQ/	3108463412
HG02885	3d22fccf967596fd65bec080d5e43524	ENCFF056MAS	GRCh38	bam	alignments	/experiments/ENCSR621JYI/	7230810802
HG02938	05d62214e6c2826bcb065d8735b07485	ENCFF966ELR	GRCh38	bam	alignments	/experiments/ENCSR920FQJ/	3530622367
HG02943	19221f02914085612ce2c6ca6d0b1fa0	ENCFF657AXO	GRCh38	bam	alignments	/experiments/ENCSR123WME/	2731663603
HG02970	568d0f46cebc18002763434f95dc9969	ENCFF320DVY	GRCh38	bam	alignments	/experiments/ENCSR857MCZ/	3938094024
HG02973	c30e23c0556d6a53c36e9ee72afc8e13	ENCFF395ZMS	GRCh38	bam	alignments	/experiments/ENCSR038WVV/	4018781308
HG02981	11dd81e1ad971b39d9bead2d86be4800	ENCFF710GAW	GRCh38	bam	alignments	/experiments/ENCSR208HAP/	3874041272
HG03025	67916d292b0ec86235fc9eda8203ad8a	ENCFF715RQC	GRCh38	bam	alignments	/experiments/ENCSR673ZMQ/	3318307118
HG03039	4ab8c94c74cc75174fc4826a7c5dd102	ENCFF231QTG	GRCh38	bam	alignments	/experiments/ENCSR381LJX/	3990234187
HG03045	19dd00867a4f094440d7ae0eb8bdac01	ENCFF216MFD	GRCh38	bam	alignments	/experiments/ENCSR249FXU/	4978644372
HG03060	fad12a3e0c2779cb5b98c4ec2004978d	ENCFF207CZR	GRCh38	bam	alignments	/experiments/ENCSR470ZNM/	2784811297
HG03064	f093fac8cf42e5ec8bebf3b0c8383864	ENCFF270VDV	GRCh38	bam	alignments	/experiments/ENCSR487SOP/	2988480007
HG03066	148718145964b98468627c22c656f18b	ENCFF479XDB	GRCh38	bam	alignments	/experiments/ENCSR040PBN/	2224785778
HG03095	18be33cb26c31a986cdf78c3f6959732	ENCFF801THG	GRCh38	bam	alignments	/experiments/ENCSR359HFH/	3681672558
HG03097	d2fe6e478d9c113bcf28e2582856974e	ENCFF919PWF	GRCh38	bam	alignments	/experiments/ENCSR608KJD/	4495906222
HG03103	f5f8481c57b227902eb2a0f7b259bdf7	ENCFF925NDY	GRCh38	bam	alignments	/experiments/ENCSR833ACP/	2719714510
HG03108	5722e2590036dfc5b07ca910f34340e6	ENCFF948HNW	GRCh38	bam	alignments	/experiments/ENCSR962ITF/	3415053220
HG03135	03e0db2e066033c76df8641221fdcabe	ENCFF004CBW	GRCh38	bam	alignments	/experiments/ENCSR096VEO/	3904414164
HG03139	fd3bce3af2537a89518fb233b56f9abb	ENCFF231YYD	GRCh38	bam	alignments	/experiments/ENCSR615YIL/	2920434550
HG03159	4101503ea6aa5afed696babaf2730d16	ENCFF998WJT	GRCh38	bam	alignments	/experiments/ENCSR940YDN/	4516346510
HG03175	cd8ab8907882ba9e76ec882c0bddf0bd	ENCFF963YZH	GRCh38	bam	alignments	/experiments/ENCSR305XRF/	5207418126
HG03196	52c130df2cc232bd3ce921b6899f1485	ENCFF767FGV	GRCh38	bam	alignments	/experiments/ENCSR063UNG/	4842081673
HG03280	23d33fa23ebed1b3c5dd596a0b1934c4	ENCFF588QWF	GRCh38	bam	alignments	/experiments/ENCSR554WGQ/	4322910632
HG03342	69ea343d3ed728e00efccd52c37afd6b	ENCFF848NBQ	GRCh38	bam	alignments	/experiments/ENCSR528YDD/	4759503608
HG03354	28512c5e00ee6f0de9bb0fb223bfa56b	ENCFF132WNX	GRCh38	bam	alignments	/experiments/ENCSR025MEO/	6976747185
HG03378	46acb3a0393066804a51767793656192	ENCFF497QOS	GRCh38	bam	alignments	/experiments/ENCSR824DUE/	7113900818
HG03432	df4547a448cb6eed34c4f1ac0fa94dae	ENCFF170VVQ	GRCh38	bam	alignments	/experiments/ENCSR839UOB/	7338339796
