metric	value
sampled_pairs	100000
sampled_barcodes	500
short_R1_records_skipped	0
mapped_primary_reads	63022
unmapped_reads	36978
nonprimary_records_skipped	1116
unexpected_reference_records	0
reference_transcripts_human	186185
reference_transcripts_mouse	136223
reference_transcripts_pig	77689
sampled_cells_assigned_human	50
sampled_cells_assigned_mouse	150
sampled_cells_assigned_pig	300
sampled_cells_tied	0
sampled_cells_without_primary_hit	0

species	mapped_reads	cells_with_hit
human	9767	408
mouse	22337	341
pig	30918	373
