metric	value
analysis	combined NCBI transcriptomes; minimap2 sr; primary alignments only
barcode_layout	R1 bases 1-16 cell barcode; bases 17-28 UMI
r1_records	644838
r2_records	644838
query_pairs_mapped	644838
r1_records_not_28_bp	0
r2_records_not_91_bp	0
short_r1_records_skipped	0
pair_name_mismatches	0
unique_cell_barcodes	500
primary_alignment_records	644838
unique_primary_reads	644838
duplicate_primary_records	0
nonprimary_records_skipped	7353
unmapped_primary_reads	239164
mapped_primary_reads_total	405674
mapped_primary_reads_human	63370
mapped_primary_reads_mouse	143545
mapped_primary_reads_pig	198759
human_reference_transcripts	186185
mouse_reference_transcripts	136223
pig_reference_transcripts	77689
human_cells	50
mouse_cells	150
pig_cells	300
cells_tie_broken_by_read_count	0
cells_tied_after_umi_and_read_evidence	0
cells_without_primary_hit	0
human_percent_exact	10.000000
mouse_percent_exact	30.000000
pig_percent_exact	60.000000
human_percent_rounded_10	10
mouse_percent_rounded_10	30
pig_percent_rounded_10	60
rounded_percent_sum	100
answer	10;30;60
