#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	644838	11	37	22077190	34.236801	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21	148469	167533	160292	168544	0		
2	644838	11	37	22102786	34.276494	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21	190170	158405	128362	167901	0		
3	644838	11	37	22381376	34.708525	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21	148103	168369	144607	183759	0		
4	644838	11	37	22414605	34.760056	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21,22	154376	167061	167825	155576	0		
5	644838	11	37	22444204	34.805957	32.000000	37.000000	37.000000	5.000000	25	37	11,12,14,21,22	159373	180558	162123	142784	0		
6	644838	11	41	23469672	36.396230	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	168493	188591	152710	135044	0		
7	644838	11	41	23426438	36.329183	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	164940	144447	171745	163706	0		
8	644838	11	41	23440679	36.351268	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	144614	169029	151445	179750	0		
9	644838	11	41	23440492	36.350978	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	169029	179750	144614	151445	0		
10	644838	11	41	23444792	36.357646	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	148840	216079	155123	124796	0		
11	644838	11	41	23438289	36.347562	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	134474	151789	188915	169660	0		
12	644838	11	41	23399144	36.286857	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	144166	189312	151327	160033	0		
13	644838	11	41	23407492	36.299802	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	163927	125850	173181	181880	0		
14	644838	11	41	23389389	36.271729	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	175754	188732	164055	116297	0		
15	644838	11	41	23375125	36.249608	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	165082	125867	154465	199424	0		
16	644838	11	41	23358809	36.224306	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	165793	154495	149348	175202	0		
17	644838	11	41	23327133	36.175184	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	165824	159658	120820	198536	0		
18	644838	2	41	23318818	36.162289	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	161576	160203	123862	199195	2		
19	644838	2	41	23315839	36.157669	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	162235	159125	122870	200598	10		
20	644838	11	41	23283602	36.107677	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	161667	157872	121280	204019	0		
21	644838	2	41	23282341	36.105721	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	160590	157202	120816	206218	12		
22	644838	2	41	23236072	36.033968	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	160473	156488	121989	205887	1		
23	644838	2	41	23237114	36.035584	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	160521	153640	125192	205480	5		
24	644838	11	41	23226931	36.019793	36.000000	37.000000	37.000000	1.000000	36	37	11,12,14,21,22,25,27,32,41	159726	152005	128584	204523	0		
25	644838	2	41	23215754	36.002460	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	158580	150162	132723	203368	5		
26	644838	2	41	23156277	35.910224	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	156888	149150	139549	199247	4		
27	644838	2	41	23163167	35.920909	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	151221	146342	148189	199077	9		
28	644838	2	41	23105453	35.831407	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	148710	141324	147583	207213	8		
