code	mapping_rows	PA14_hits	first_mapping
pae	5789	0	pae:PA0552	path:pae00010
paf	5784	0	paf:PAM18_0553	path:paf00010
pag	5764	0	pag:PLES_05501	path:pag00010
pah	1732	0	pah:Poras_0261	path:pah00010
pai	2366	0	pai:PAE0812	path:pai00010
paj	4886	0	paj:PAJ_0091	path:paj00010
pak	2739	0	pak:HMPREF0675_3011	path:pak00010
pal	538	0	pal:PA0059	path:pal00010
pam	4872	0	pam:PANA_0062	path:pam00010
pan	5640	0	pan:PODANS72p112	path:pan00010
pao	5896	0	pao:Pat9b_0237	path:pao00010
pap	5751	0	pap:PSPA7_0655	path:pap00010
paq	4926	0	paq:PAGR_g0028	path:paq00010
par	2732	0	par:Psyc_0065	path:par00010
pas	2354	0	pas:Pars_0056	path:pas00010
pat	4032	0	pat:Patl_0242	path:pat00010
pau	5783	5783	pau:PA14_07190	path:pau00010
pav	2757	0	pav:TIA2EST22_00070	path:pav00010
paw	2722	0	paw:PAZ_c00130	path:paw00010
pax	2730	0	pax:TIA2EST36_00070	path:pax00010
pay	4132	0	pay:PAU_00062	path:pay00010
paz	2729	0	paz:TIA2EST2_00070	path:paz00010
