kind	item	metric	value
global	all	records	119566
pair	Sample1-Sample2	sites	119566
pair	Sample1-Sample2	missing	0
pair	Sample1-Sample2	different_gt	37047
pair	Sample1-Sample2	dosage_abs_diff	37141
pair	Sample1-Sample2	ibs2	82519
pair	Sample1-Sample2	ibs1	36946
pair	Sample1-Sample2	ibs0	101
pair	Sample1-Sample3	sites	119566
pair	Sample1-Sample3	missing	0
pair	Sample1-Sample3	different_gt	43192
pair	Sample1-Sample3	dosage_abs_diff	43304
pair	Sample1-Sample3	ibs2	76374
pair	Sample1-Sample3	ibs1	43062
pair	Sample1-Sample3	ibs0	130
pair	Sample1-Sample4	sites	119566
pair	Sample1-Sample4	missing	0
pair	Sample1-Sample4	different_gt	42758
pair	Sample1-Sample4	dosage_abs_diff	42856
pair	Sample1-Sample4	ibs2	76808
pair	Sample1-Sample4	ibs1	42633
pair	Sample1-Sample4	ibs0	125
pair	Sample2-Sample3	sites	119566
pair	Sample2-Sample3	missing	0
pair	Sample2-Sample3	different_gt	42243
pair	Sample2-Sample3	dosage_abs_diff	42353
pair	Sample2-Sample3	ibs2	77323
pair	Sample2-Sample3	ibs1	42125
pair	Sample2-Sample3	ibs0	118
pair	Sample2-Sample4	sites	119566
pair	Sample2-Sample4	missing	0
pair	Sample2-Sample4	different_gt	42413
pair	Sample2-Sample4	dosage_abs_diff	42529
pair	Sample2-Sample4	ibs2	77153
pair	Sample2-Sample4	ibs1	42303
pair	Sample2-Sample4	ibs0	110
pair	Sample3-Sample4	sites	119566
pair	Sample3-Sample4	missing	0
pair	Sample3-Sample4	different_gt	36062
pair	Sample3-Sample4	dosage_abs_diff	36138
pair	Sample3-Sample4	ibs2	83504
pair	Sample3-Sample4	ibs1	35991
pair	Sample3-Sample4	ibs0	71
bin	Sample1	1-10000000	called=5320;het=2122;alt_alleles=8526;alt_sites=5320;missing=0
bin	Sample2	1-10000000	called=5320;het=2364;alt_alleles=8297;alt_sites=5320;missing=0
bin	Sample3	1-10000000	called=5320;het=2437;alt_alleles=8225;alt_sites=5320;missing=0
bin	Sample4	1-10000000	called=5320;het=2592;alt_alleles=8079;alt_sites=5320;missing=0
bin	Sample1	10000001-20000000	called=6455;het=3272;alt_alleles=9650;alt_sites=6455;missing=0
bin	Sample2	10000001-20000000	called=6455;het=2914;alt_alleles=10031;alt_sites=6455;missing=0
bin	Sample3	10000001-20000000	called=6455;het=3136;alt_alleles=9807;alt_sites=6455;missing=0
bin	Sample4	10000001-20000000	called=6455;het=3700;alt_alleles=9244;alt_sites=6455;missing=0
bin	Sample1	20000001-30000000	called=4437;het=1578;alt_alleles=7310;alt_sites=4437;missing=0
bin	Sample2	20000001-30000000	called=4437;het=1731;alt_alleles=7167;alt_sites=4437;missing=0
bin	Sample3	20000001-30000000	called=4437;het=1514;alt_alleles=7377;alt_sites=4437;missing=0
bin	Sample4	20000001-30000000	called=4437;het=1602;alt_alleles=7298;alt_sites=4437;missing=0
bin	Sample1	30000001-40000000	called=4177;het=1495;alt_alleles=6871;alt_sites=4177;missing=0
bin	Sample2	30000001-40000000	called=4177;het=1489;alt_alleles=6882;alt_sites=4177;missing=0
bin	Sample3	30000001-40000000	called=4177;het=1499;alt_alleles=6876;alt_sites=4177;missing=0
bin	Sample4	30000001-40000000	called=4177;het=1314;alt_alleles=7072;alt_sites=4177;missing=0
bin	Sample1	40000001-50000000	called=4261;het=1505;alt_alleles=7025;alt_sites=4261;missing=0
bin	Sample2	40000001-50000000	called=4261;het=1803;alt_alleles=6728;alt_sites=4261;missing=0
bin	Sample3	40000001-50000000	called=4261;het=1554;alt_alleles=6980;alt_sites=4261;missing=0
bin	Sample4	40000001-50000000	called=4261;het=1569;alt_alleles=6961;alt_sites=4261;missing=0
bin	Sample1	50000001-60000000	called=3843;het=1510;alt_alleles=6182;alt_sites=3843;missing=0
bin	Sample2	50000001-60000000	called=3843;het=1417;alt_alleles=6276;alt_sites=3843;missing=0
bin	Sample3	50000001-60000000	called=3843;het=1036;alt_alleles=6661;alt_sites=3843;missing=0
bin	Sample4	50000001-60000000	called=3843;het=1350;alt_alleles=6344;alt_sites=3843;missing=0
bin	Sample1	60000001-70000000	called=5428;het=2346;alt_alleles=8514;alt_sites=5428;missing=0
