sample	rank	ref_sample	super_pop	different_dosage_sites	nearest_sites
Sample1	1	HG02314	AFR	1559	5000
Sample1	2	HG03198	AFR	1645	5000
Sample1	3	NA19141	AFR	1657	5000
Sample1	4	NA19704	AFR	1680	5000
Sample1	5	NA19449	AFR	1696	5000
Sample1	6	HG03419	AFR	1702	5000
Sample1	7	NA18853	AFR	1709	5000
Sample1	8	HG02051	AFR	1719	5000
Sample1	9	NA19473	AFR	1721	5000
Sample1	10	NA19159	AFR	1726	5000
Sample2	1	HG03351	AFR	1640	5000
Sample2	2	NA19141	AFR	1666	5000
Sample2	3	HG02314	AFR	1669	5000
Sample2	4	HG03159	AFR	1712	5000
Sample2	5	NA19390	AFR	1715	5000
Sample2	6	HG02891	AFR	1721	5000
Sample2	7	HG03476	AFR	1729	5000
Sample2	8	HG03270	AFR	1741	5000
Sample2	9	HG02594	AFR	1747	5000
Sample2	10	HG03198	AFR	1749	5000
Sample3	1	HG02724	SAS	55	5000
Sample3	2	HG01167	AMR	1709	5000
Sample3	3	HG02789	SAS	1718	5000
Sample3	4	HG02775	SAS	1724	5000
Sample3	5	HG03634	SAS	1751	5000
Sample3	6	HG04039	SAS	1789	5000
Sample3	7	NA20809	EUR	1811	5000
Sample3	8	HG03908	SAS	1812	5000
Sample3	9	HG03934	SAS	1813	5000
Sample3	10	HG01702	EUR	1825	5000
Sample4	1	HG00190	EUR	56	5000
Sample4	2	HG01272	AMR	1737	5000
Sample4	3	HG02265	AMR	1745	5000
Sample4	4	HG01085	AMR	1746	5000
Sample4	5	NA12400	EUR	1775	5000
Sample4	6	HG01781	EUR	1798	5000
Sample4	7	NA20809	EUR	1801	5000
Sample4	8	HG00282	EUR	1803	5000
Sample4	9	HG01682	EUR	1804	5000
Sample4	10	NA19759	AMR	1817	5000
