sample	label	matched_markers	PC1	PC2	PC3	PC4	nearest_sample	nearest_pop	nearest_super_pop	nearest_label	nearest_distance	best_label_distance
Sample1	EAS	8	0.012562726	0.014908803	0.11218124	0.10223464	HG02406	CDX	EAS	EAS	0.13755624	0.13755624
Sample1	TOP1	HG02406	CDX	EAS	EAS	0.13755624
Sample1	TOP2	HG00766	CDX	EAS	EAS	0.13774784
Sample1	TOP3	HG02384	CDX	EAS	EAS	0.13797072
Sample1	TOP4	HG01794	CDX	EAS	EAS	0.13800889
Sample1	TOP5	HG01816	CDX	EAS	EAS	0.13805827
Sample1	TOP6	HG00844	CDX	EAS	EAS	0.1380866
Sample1	TOP7	HGDP01310	Dai	EAST_ASIA	EAS	0.13809612
Sample1	TOP8	HG01809	CDX	EAS	EAS	0.1381462
Sample1	TOP9	HG01817	CDX	EAS	EAS	0.13819083
Sample1	TOP10	HG01029	CDX	EAS	EAS	0.13820449
Sample2	SAS	8	0.082090472	0.0022431296	0.0026987794	-0.21481663	HG04026	ITU	SAS	SAS	0.1936513	0.1936513
Sample2	TOP1	HG04026	ITU	SAS	SAS	0.1936513
Sample2	TOP2	HG04063	ITU	SAS	SAS	0.19439285
Sample2	TOP3	HG03772	ITU	SAS	SAS	0.19445947
Sample2	TOP4	HG03785	ITU	SAS	SAS	0.19499036
Sample2	TOP5	HG04061	ITU	SAS	SAS	0.19501532
Sample2	TOP6	HG04025	ITU	SAS	SAS	0.19535781
Sample2	TOP7	HG03861	ITU	SAS	SAS	0.19540236
Sample2	TOP8	HG04054	ITU	SAS	SAS	0.19564155
Sample2	TOP9	HG04056	ITU	SAS	SAS	0.19566022
Sample2	TOP10	HG03743	STU	SAS	SAS	0.19576163
Sample3	EAS	8	0.010541045	-0.00045161822	0.15985635	0.077245287	HG02406	CDX	EAS	EAS	0.16568528	0.16568528
Sample3	TOP1	HG02406	CDX	EAS	EAS	0.16568528
Sample3	TOP2	HG02178	CDX	EAS	EAS	0.16572989
Sample3	TOP3	HGDP01310	Dai	EAST_ASIA	EAS	0.16585025
Sample3	TOP4	HG02384	CDX	EAS	EAS	0.16600286
Sample3	TOP5	HG01809	CDX	EAS	EAS	0.16613889
Sample3	TOP6	HG00766	CDX	EAS	EAS	0.16616307
Sample3	TOP7	HG01794	CDX	EAS	EAS	0.16618068
Sample3	TOP8	HG01817	CDX	EAS	EAS	0.16629612
Sample3	TOP9	HG00864	CDX	EAS	EAS	0.16630901
Sample3	TOP10	HG01029	CDX	EAS	EAS	0.16630974
Sample4	SAS	8	0.0081868751	0.0027021999	0.043796307	-0.16027536	HG04026	ITU	SAS	SAS	0.12041257	0.12041257
Sample4	TOP1	HG04026	ITU	SAS	SAS	0.12041257
Sample4	TOP2	HG03772	ITU	SAS	SAS	0.12113236
Sample4	TOP3	HG04063	ITU	SAS	SAS	0.12148314
Sample4	TOP4	HG04061	ITU	SAS	SAS	0.12185528
Sample4	TOP5	HG03785	ITU	SAS	SAS	0.12199013
Sample4	TOP6	HG04025	ITU	SAS	SAS	0.1222796
Sample4	TOP7	HG03977	ITU	SAS	SAS	0.12245218
Sample4	TOP8	HG04023	ITU	SAS	SAS	0.1225118
Sample4	TOP9	HG03861	ITU	SAS	SAS	0.12256356
Sample4	TOP10	HG03743	STU	SAS	SAS	0.12260483
__global__	matched_markers	8
__global__	reference_samples	3433
