sample	population	matched_sites	mean_target_dosage	mean_abs_error	mean_squared_error
Sample1	AFR	106544	1.614798	0.361871	0.222837
Sample1	AMR	106544	1.614798	0.435832	0.331547
Sample1	SAS	106544	1.614798	0.431631	0.332283
Sample1	EUR	106544	1.614798	0.450068	0.354892
Sample1	EAS	106544	1.614798	0.457540	0.396974
Sample2	AFR	106544	1.643499	0.373415	0.236674
Sample2	AMR	106544	1.643499	0.435391	0.333604
Sample2	SAS	106544	1.643499	0.434146	0.336484
Sample2	EUR	106544	1.643499	0.447030	0.354896
Sample2	EAS	106544	1.643499	0.458279	0.400677
Sample3	SAS	106544	1.634151	0.338259	0.217717
Sample3	AMR	106544	1.634151	0.359813	0.239987
Sample3	EUR	106544	1.634151	0.360758	0.245792
Sample3	EAS	106544	1.634151	0.377050	0.290063
Sample3	AFR	106544	1.634151	0.420330	0.292759
Sample4	EUR	106544	1.633532	0.339820	0.222228
Sample4	AMR	106544	1.633532	0.346431	0.225900
Sample4	SAS	106544	1.633532	0.349265	0.235802
Sample4	AFR	106544	1.633532	0.416757	0.291981
Sample4	EAS	106544	1.633532	0.387290	0.312638
__global__	matched_positions	106544	0	0	0
__global__	ref_records_at_target_positions	107206	0	0	0
__global__	allele_matches	106544	0	0	0
