sample	ref_sample	super_pop	matched_sites	mean_abs_dosage_diff	different_dosage_sites	mean_squared_dosage_diff
Sample1	HG02314	AFR	106544	0.455662	44432	0.532925
Sample1	HG03351	AFR	106544	0.438945	43140	0.507030
Sample1	HG02724	SAS	106544	0.390937	41578	0.392326
Sample1	HG00190	EUR	106544	0.386563	41108	0.388027
Sample2	HG02314	AFR	106544	0.452208	43624	0.537731
Sample2	HG03351	AFR	106544	0.446736	43356	0.526346
Sample2	HG02724	SAS	106544	0.382171	40638	0.383672
Sample2	HG00190	EUR	106544	0.383766	40800	0.385418
Sample3	HG02314	AFR	106544	0.502590	48186	0.603244
Sample3	HG03351	AFR	106544	0.499934	47623	0.605844
Sample3	HG02724	SAS	106544	0.008353	858	0.008954
Sample3	HG00190	EUR	106544	0.327865	34868	0.329066
Sample4	HG02314	AFR	106544	0.488944	46671	0.590742
Sample4	HG03351	AFR	106544	0.498733	47719	0.600437
Sample4	HG02724	SAS	106544	0.327189	34783	0.328634
Sample4	HG00190	EUR	106544	0.009574	984	0.010249
