metric	value
target_state	14_ReprPCWk
peak_records	269800
peak_total_bases_record_weighted	228562072
annotation_records	665095
annotation_total_bases	3095691400
annotation_target_state_bases	332731600
record_weighted_target_overlap_bases	36543965
record_weighted_annotated_peak_bases	227344497
record_weighted_unannotated_peak_bases	1217575
record_weighted_target_percent	16.0742685582
record_weighted_target_percent_rounded	16
union_peak_total_bases	99215586
union_target_overlap_bases	15968141
union_annotated_peak_bases	98740922
union_unannotated_peak_bases	474664
union_target_percent	16.1717560223
union_target_percent_rounded	16
