level	label	tf	kind	definition	total_fragments	accessible_fragments	closed_fragments	accessible_fraction	closed_fraction	accessible_cpm	closed_cpm	control_closed_cpm	closed_log2FE_vs_control	closed_delta_cpm
file	TF1.control1.bed.gz	TF1	control1	any_union	37039899	770368	36269531	0.020798	0.979202	20798.328851	979201.671149	NA	NA	NA
file	TF1.control1.bed.gz	TF1	control1	midpoint_union	37039899	368651	36671248	0.009953	0.990047	9952.807917	990047.192083	NA	NA	NA
file	TF1.control1.bed.gz	TF1	control1	any_consensus	37039899	443713	36596186	0.011979	0.988021	11979.325322	988020.674678	NA	NA	NA
file	TF1.control1.bed.gz	TF1	control1	midpoint_consensus	37039899	187766	36852133	0.005069	0.994931	5069.290281	994930.709719	NA	NA	NA
file	TF1.control2.bed.gz	TF1	control2	any_union	45007567	930817	44076750	0.020681	0.979319	20681.344539	979318.655461	NA	NA	NA
file	TF1.control2.bed.gz	TF1	control2	midpoint_union	45007567	453286	44554281	0.010071	0.989929	10071.328672	989928.671328	NA	NA	NA
file	TF1.control2.bed.gz	TF1	control2	any_consensus	45007567	537015	44470552	0.011932	0.988068	11931.660292	988068.339708	NA	NA	NA
file	TF1.control2.bed.gz	TF1	control2	midpoint_consensus	45007567	230868	44776699	0.005130	0.994870	5129.537440	994870.462560	NA	NA	NA
file	TF1.rep1.bed.gz	TF1	rep1	any_union	30262780	1805969	28456811	0.059676	0.940324	59676.242566	940323.757434	NA	NA	NA
file	TF1.rep1.bed.gz	TF1	rep1	midpoint_union	30262780	800621	29462159	0.026456	0.973544	26455.632959	973544.367041	NA	NA	NA
file	TF1.rep1.bed.gz	TF1	rep1	any_consensus	30262780	1184316	29078464	0.039134	0.960866	39134.408670	960865.591330	NA	NA	NA
file	TF1.rep1.bed.gz	TF1	rep1	midpoint_consensus	30262780	449342	29813438	0.014848	0.985152	14848.008015	985151.991985	NA	NA	NA
file	TF1.rep2.bed.gz	TF1	rep2	any_union	34212511	1900167	32312344	0.055540	0.944460	55540.120981	944459.879019	NA	NA	NA
file	TF1.rep2.bed.gz	TF1	rep2	midpoint_union	34212511	843873	33368638	0.024666	0.975334	24665.625975	975334.374025	NA	NA	NA
file	TF1.rep2.bed.gz	TF1	rep2	any_consensus	34212511	1241145	32971366	0.036278	0.963722	36277.518479	963722.481521	NA	NA	NA
file	TF1.rep2.bed.gz	TF1	rep2	midpoint_consensus	34212511	473745	33738766	0.013847	0.986153	13847.127444	986152.872556	NA	NA	NA
file	TF2.control1.bed.gz	TF2	control1	any_union	26894612	617253	26277359	0.022951	0.977049	22950.805165	977049.194835	NA	NA	NA
file	TF2.control1.bed.gz	TF2	control1	midpoint_union	26894612	281448	26613164	0.010465	0.989535	10464.847011	989535.152989	NA	NA	NA
file	TF2.control1.bed.gz	TF2	control1	any_consensus	26894612	361983	26532629	0.013459	0.986541	13459.312966	986540.687034	NA	NA	NA
file	TF2.control1.bed.gz	TF2	control1	midpoint_consensus	26894612	144284	26750328	0.005365	0.994635	5364.792026	994635.207974	NA	NA	NA
file	TF2.control2.bed.gz	TF2	control2	any_union	26693947	613069	26080878	0.022967	0.977033	22966.592389	977033.407611	NA	NA	NA
file	TF2.control2.bed.gz	TF2	control2	midpoint_union	26693947	277109	26416838	0.010381	0.989619	10380.967640	989619.032360	NA	NA	NA
file	TF2.control2.bed.gz	TF2	control2	any_consensus	26693947	359265	26334682	0.013459	0.986541	13458.669113	986541.330887	NA	NA	NA
file	TF2.control2.bed.gz	TF2	control2	midpoint_consensus	26693947	142064	26551883	0.005322	0.994678	5321.955573	994678.044427	NA	NA	NA
file	TF2.rep1.bed.gz	TF2	rep1	any_union	9520602	615588	8905014	0.064659	0.935341	64658.516342	935341.483658	NA	NA	NA
file	TF2.rep1.bed.gz	TF2	rep1	midpoint_union	9520602	278398	9242204	0.029242	0.970758	29241.638291	970758.361709	NA	NA	NA
file	TF2.rep1.bed.gz	TF2	rep1	any_consensus	9520602	410584	9110018	0.043126	0.956874	43125.844353	956874.155647	NA	NA	NA
file	TF2.rep1.bed.gz	TF2	rep1	midpoint_consensus	9520602	160504	9360098	0.016859	0.983141	16858.597807	983141.402193	NA	NA	NA
file	TF2.rep2.bed.gz	TF2	rep2	any_union	18620491	1170047	17450444	0.062837	0.937163	62836.527780	937163.472220	NA	NA	NA
file	TF2.rep2.bed.gz	TF2	rep2	midpoint_union	18620491	547116	18073375	0.029382	0.970618	29382.469023	970617.530977	NA	NA	NA
file	TF2.rep2.bed.gz	TF2	rep2	any_consensus	18620491	777835	17842656	0.041773	0.958227	41773.066027	958226.933973	NA	NA	NA
file	TF2.rep2.bed.gz	TF2	rep2	midpoint_consensus	18620491	315280	18305211	0.016932	0.983068	16931.884342	983068.115658	NA	NA	NA
file	TF3.control1.bed.gz	TF3	control1	any_union	23274203	739110	22535093	0.031757	0.968243	31756.619120	968243.380880	NA	NA	NA
file	TF3.control1.bed.gz	TF3	control1	midpoint_union	23274203	340083	22934120	0.014612	0.985388	14612.014856	985387.985144	NA	NA	NA
file	TF3.control1.bed.gz	TF3	control1	any_consensus	23274203	449253	22824950	0.019303	0.980697	19302.615862	980697.384138	NA	NA	NA
file	TF3.control1.bed.gz	TF3	control1	midpoint_consensus	23274203	181739	23092464	0.007809	0.992191	7808.602512	992191.397488	NA	NA	NA
