level	label	tf	kind	definition	total_fragments	accessible_fragments	closed_fragments	accessible_fraction	closed_fraction	accessible_cpm	closed_cpm	control_closed_cpm	closed_log2FE_vs_control	closed_delta_cpm
NA	NA	TF1	control1	any_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	midpoint_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	any_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	midpoint_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	any_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	midpoint_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	any_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control1	midpoint_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	any_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	midpoint_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	any_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	midpoint_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	any_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	midpoint_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	any_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	control2	midpoint_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	any_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	midpoint_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	any_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	midpoint_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	any_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	midpoint_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	any_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep1	midpoint_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	any_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	midpoint_rep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	any_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	midpoint_rep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	any_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	midpoint_union	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	any_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	TF1	rep2	midpoint_consensus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_consensus	64475291	2425461	62049830	0.037618	0.962382	37618.457589	962381.542411	988046.821580	-0.037970	-25665.279169
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_rep1	64475291	2972781	61502510	0.046107	0.953893	46107.290931	953892.709069	984796.654171	-0.045999	-30903.945102
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_rep2	64475291	3168958	61306333	0.049150	0.950850	49149.960409	950850.039591	982476.326569	-0.047205	-31626.286978
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_union	64475291	3706136	60769155	0.057481	0.942519	57481.493182	942518.506818	979265.843506	-0.055180	-36747.336687
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_consensus	64475291	923087	63552204	0.014317	0.985683	14316.910954	985683.089046	994897.660825	-0.013424	-9214.571779
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_rep1	64475291	1242505	63232786	0.019271	0.980729	19271.025857	980728.974143	992972.214401	-0.017899	-12243.240258
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_rep2	64475291	1325076	63150215	0.020552	0.979448	20551.687002	979448.312998	991907.623326	-0.018236	-12459.310328
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_union	64475291	1644494	62830797	0.025506	0.974494	25505.801905	974494.198095	989982.176902	-0.022749	-15487.978807
# DNase interval diagnostics
# selected_tf=TF1
# definition	merged_intervals	merged_bases
# consensus	79312	10418187
# rep1	96987	14703455
# rep2	111939	16894114
# union	129606	21179382
