index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
TNFRSF1B	379	1449.6646	0.70105714	1.5734763	0.9237927	True	True	1.820088763016268	8.809447868414887	0.9499584
MARCKSL1	493	1938.9277	0.8581294	1.6759479	1.2113675	True	True	1.0066179609104902	5.8796419386842596	0.5662068
SMAP2	434	1028.7045	0.5428391	1.292978	-0.21652035	False	True	1.3047954498784902	7.538011542711517	1.182271
SCP2	735	2500.6467	1.0124665	1.270636	-0.38550422	False	True	0.8045469096709775	5.3757343717800365	1.5913669
C1orf162	1034	6030.4453	1.6536388	1.7653878	0.2341166	False	True	0.6122058823235328	2.744237363790479	0.5849759
PTPN7	252	538.6131	0.32022977	1.2665317	-0.1979142	False	True	2.565878598969507	9.55851817608969	0.51213104
COA6	234	622.00525	0.36178023	1.1823214	-0.65261865	False	True	1.9798189954444678	8.738301500452112	0.6506111
MAL	355	622.9477	0.36223993	1.5285761	1.2170291	True	True	1.4229323269517393	7.568370511244375	0.6648612
PPIG	457	1602.0422	0.7526723	1.2928348	-0.21710287	False	True	1.18054166013705	6.876920362052472	0.61456627
UQCRC1	499	2213.7583	0.9366173	1.1460615	-0.8763098	False	True	1.2009050852716907	6.743800445724068	0.500251
GNAI2	618	2236.2505	0.9427761	1.30877	-0.23526174	False	True	0.8428136791981186	4.542083663268917	0.7053423
ARL6IP5	1222	4693.6333	1.456092	1.4780449	-0.176647	False	True	0.6136803552805316	3.4239267515460226	1.5607265
BBX	386	985.233	0.5249786	1.337145	0.1833714	False	True	1.277572641601253	7.077243443449081	0.7865915
CD47	669	2019.8915	0.88189816	1.4062986	0.14898753	False	True	0.8579829114168944	5.507503504972676	1.7314143
TIGIT	189	393.3444	0.24345134	2.1693523	4.9665103	True	True	2.56400223654945	9.650291571277114	0.5969321
RAB7A	840	3072.1587	1.1483164	1.2760776	-0.4673998	False	True	0.7018429033001354	4.494276509775946	0.65453166
SIAH2	326	878.0571	0.47953096	1.2245265	-0.4247267	False	True	2.009648356906811	9.110129646571249	1.0304605
GPR171	135	139.21802	0.093089476	1.2976997	0.23080127	False	True	2.642838085448592	9.559672957617726	0.6523128
MED28	458	900.5595	0.489246	1.23339	-0.37686732	False	True	1.0662032359398492	6.275058459393482	0.97004306
SMIM14	275	1023.40717	0.5406798	1.8145171	1.903699	True	True	1.8430400359677082	8.50359897978561	0.6568184
IGFBP7	228	1462.501	0.70550925	1.9666255	2.5220668	True	True	2.5673663599698067	9.641156640833685	0.5884912
SNHG8	678	1896.3853	0.84540945	1.3708388	0.009280634	False	True	0.7616732781395135	4.440028492998842	0.59687555
H2AFY	798	4746.726	1.4647276	1.5238638	-0.08253251	False	True	0.8333367558309319	4.934433567333176	1.1223415
NDUFA2	695	2867.5972	1.101783	1.2439435	-0.55449647	False	True	0.9919459421052365	6.7408373796573775	1.44574
ATP6V0E1	1515	5912.5474	1.6377032	1.3447876	-0.46283773	False	True	0.5435079144253289	2.8178179767476976	0.69060695
LMAN2	698	3298.228	1.1973417	1.426922	-0.058550302	False	True	0.8377014782400499	4.762450249831025	0.9395534
DYNLT1	515	966.5471	0.51720214	1.2874181	-0.08513523	False	True	1.0093190579610223	5.965836606779397	0.65423685
CCT6A	443	1808.3689	0.81856835	1.2212903	-0.579919	False	True	1.076316875723829	6.375767247592179	1.0728964
MRPS33	268	1037.0142	0.54621726	1.4382942	0.3742351	True	True	2.442929540484927	9.772104167560824	0.70949024
ZYX	403	1669.8091	0.77479786	1.3804896	0.1392414	False	True	1.363980086742954	7.598670147234028	0.70150536
GIMAP7	1444	6923.144	1.766705	2.0449758	0.69740707	True	True	0.5355935442805303	3.1393474722245607	1.1521893
PQBP1	430	1744.7242	0.798701	1.2182258	-0.5919927	False	True	1.9963471274291473	8.912530889603776	0.82859904
