index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
C1QA	36	3897.893	1.3168184	3.346717	3.6617038	True	True	1.7485637875624804	6.722775565717597	0.56999266
DENND2D	433	806.9616	0.44820207	1.3905954	0.4719842	True	True	1.7740439245349315	6.6897868056977385	0.5235619
FCER1A	55	8126.176	1.9012991	3.3484802	2.1751766	True	True	1.2735800410266804	5.2987782391762615	1.1865789
CD247	721	1821.243	0.82254	1.922738	2.1836853	True	True	2.713939711045629	8.68852223738383	1.5209907
TRAF3IP3	1296	4741.1265	1.4638208	1.5699837	0.012200258	False	True	1.0184267602349917	4.656933227046429	0.5220349
GNAI2	618	2236.2505	0.9427761	1.30877	-0.23526174	False	True	1.0625675251285374	5.219704572608444	1.1047087
BBX	386	985.233	0.5249786	1.337145	0.1833714	False	True	1.940331945105624	7.112420527756977	1.1184076
CD47	669	2019.8915	0.88189816	1.4062986	0.14898753	False	True	1.0104541010709138	5.352005808141557	1.2416888
TIGIT	189	393.3444	0.24345134	2.1693523	4.9665103	True	True	2.249514906715141	8.442211224108933	1.127996
RAB7A	840	3072.1587	1.1483164	1.2760776	-0.4673998	False	True	1.0485460448357282	5.060314981127568	0.9396823
MED28	458	900.5595	0.489246	1.23339	-0.37686732	False	True	1.235192355246514	5.982750953902022	1.8947403
EMB	278	689.5122	0.39419502	1.2748755	-0.15286067	False	True	1.7821875877292637	7.061459811136484	1.0466818
NSA2	602	1381.2491	0.67698693	1.2689773	-0.31409097	False	True	1.189335667454917	5.225923775166322	1.1111479
H2AFY	798	4746.726	1.4647276	1.5238638	-0.08253251	False	True	0.9799608413228358	5.581642410923787	1.4794465
NDUFA2	695	2867.5972	1.101783	1.2439435	-0.55449647	False	True	1.2431863340980507	5.408758306744846	1.3004484
LMAN2	698	3298.228	1.1973417	1.426922	-0.058550302	False	True	1.234770861717129	5.969075743544004	1.8805815
SAMD3	316	538.6123	0.32022947	1.3776957	0.40233028	True	True	2.7459183787494577	8.39588582347821	1.0540828
STK17A	850	1678.7247	0.7776727	1.6279045	1.1450604	True	True	1.0159649824657504	4.6904296906426	0.5567159
LAT2	249	1128.759	0.5827747	1.3106613	-0.14463234	False	True	1.1862241700634888	4.688388490749417	0.55460256
GIMAP7	1444	6923.144	1.766705	2.0449758	0.69740707	True	True	1.1161136903288527	5.089870898341376	0.97028345
PQBP1	430	1744.7242	0.798701	1.2182258	-0.5919927	False	True	1.0377284434669907	4.686384937191436	0.55252814
TCEAL8	341	884.6244	0.4823761	1.1817816	-0.65553325	False	True	1.3961709699022005	7.102748030710876	1.1047938
MPP1	175	531.5916	0.31665134	1.3596625	0.30495793	True	True	2.3325656710578873	8.172610785938906	0.69784236
OTUB1	437	1978.5756	0.8698393	1.1969967	-0.67563254	False	True	1.0182244054953293	5.098873707252577	0.97960466
CWC15	453	1611.8469	0.75590384	1.3323694	-0.056382008	False	True	1.922221078855338	7.856673222687469	2.1659234
TMBIM6	1382	5769.3647	1.6180019	1.6738782	0.08248091	False	True	1.2118795809659448	4.925424308512798	0.8000212
TMBIM4-1	782	2414.7302	0.9903482	1.3161566	-0.20615925	False	True	1.1490596725185453	4.99211444720449	0.8690698
ARF6	944	3206.47	1.177732	1.3111099	-0.3724481	False	True	2.1033488955595288	8.142775019425592	0.6502387
LGALS3	662	4306.797	1.3908033	1.8369461	0.5605551	True	True	1.0153968917911096	5.161328907266353	1.0442686
ERH	913	3289.9807	1.1955945	1.2767037	-0.46570286	False	True	0.9920656745601211	5.202036523006375	1.0864159
AHSA1	321	1093.5421	0.5688995	1.2419851	-0.42382267	False	True	1.1882063963977476	4.935914148624692	0.810882
IL16	463	1521.4624	0.7257097	1.3120329	-0.13905627	False	True	1.274536042234984	5.507017473199462	1.4021825
C16orf13	484	2045.4418	0.88928354	1.2250888	-0.56495345	False	True	1.2881826999900854	5.807942131993509	1.7137494
