	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
IFIT1	30.993368523576702	11.337911329974792	3.9207356565732714	85.60285652595286	9.908753649539946	60.55086775882463	8.808124033308387	53.18617245810582	112.60157961730476
STAT1	370.1257060655196	117.04560203829698	107.02920494084229	510.4348768313323	112.09277566042064	496.1945872208565	123.98729889239395	480.37267715000934	453.22937801518
LCN2	157.24475166304617	2.651153395566245	4.6085840173756	285.8467132878705	2.0348333387448103	198.39336316413878	1.2953123578394687	105.94087245170564	272.68188796213406
S100A9	14929.830047276966	7.332977477098124	11.211928281077952	15388.784148260329	20.082920343264	14053.445567073659	17.668060560930353	13407.460302735464	18211.942093659236
IFIT3	47.35289712065394	11.28150381092019	6.053065575060489	111.4985161906347	10.439579737908158	58.09350850925914	10.621561334283644	66.01528706941745	76.67173085052946
ISG15	18.637437642239888	0.9589278239282163	0.6878483608023284	29.793931012053296	2.0348333387448103	19.697270234798374	1.3989373464666262	20.653148634353695	44.591508737337215
S100A8	11021.0761808715	6.204827096006105	10.868004100676787	12117.537813629853	14.951601489037955	10834.84249747871	16.11368573152299	10656.017926242659	13711.15109162259
LTF	171.18831612131453	0.28203759527300476	0.8942028690430268	240.6585882816054	1.7694202945607047	16.54877869629259	11.916873692123112	68.40276803968396	475.7496939386409
MX1	116.65655413105708	5.133084233968687	5.846711066819791	197.2604858328068	10.174166693724052	166.33250420496404	9.637123942325648	107.6955271406967	182.47230337983746
OAS1	45.834291090545506	8.009867705753337	6.740913935862817	99.12747140458853	10.351108723180122	67.84615303097218	8.911749021935545	77.40616013237575	125.81863112793997
IRF7	35.204048879786455	4.174156410040471	5.365217214258161	43.75610696029189	10.616521767364228	27.990857702081897	8.445436573113335	39.321523931979804	63.198037562988716
IFI27	272.7968650449335	5.133084233968687	4.2646598369744355	456.6944218282829	18.844326137071505	630.7734023728415	7.253749203901025	699.9058670906603	690.366379875897
