index_a	index_b	motif_js_bits	xcorr_cosine_distance
1	2	0.0037032329370362722	0.16173628512191085
1	3	0.009195371903957526	0.2652685365623946
1	4	0.01774719254385781	0.3130824866773163
1	5	0.0009702086389339941	0.18211556385486027
1	6	0.009627153130842427	0.4184644155858923
1	7	0.008649418319487007	0.3028563687397998
1	8	0.0029247350853523583	0.22689698814061354
1	9	0.0041441633280712075	0.25755913214151405
1	10	0.014296527868081053	0.22811188393391113
2	3	0.0022707572055715914	0.16131499559677553
2	4	0.012361519903664681	0.3599933357526154
2	5	0.0017137688447462736	0.06085446248304338
2	6	0.0020543539157668457	0.2779154457132822
2	7	0.0016819317261630169	0.092178304081598
2	8	0.002629118678125033	0.25701480468389926
2	9	0.0022032845753238305	0.22261904302587265
2	10	0.00648495554143107	0.26315051608178786
3	4	0.010891986215804774	0.14468489415736285
3	5	0.007039164208649386	0.12435858631347829
3	6	0.001012497693896212	0.07368323148551748
3	7	0.0007700987549619881	0.09205002374820459
3	8	0.006055433888212446	0.11864951904750676
3	9	0.004723971343478125	0.08151646509122501
3	10	0.0027395215711428045	0.12315072616083389
4	5	0.0160410322508991	0.338407049169396
4	6	0.013543739946838893	0.28202219788820826
4	7	0.012292368648371925	0.3494000018040283
4	8	0.01133573244444855	0.041867866250935415
4	9	0.010220087799527119	0.062393194903072824
4	10	0.009948777323206521	0.043106080673733116
5	6	0.006866114003909594	0.20280493555498946
5	7	0.006034552565839031	0.12002747222530807
5	8	0.001985674089429788	0.2524350648688535
5	9	0.002575009415242984	0.22825964486588268
5	10	0.012277615526145189	0.2561977167170526
6	7	0.00014079831279999335	0.1563454617276795
6	8	0.007257475224914223	0.27137028195104784
6	9	0.005967926217690717	0.2389000458070818
6	10	0.004435478634244494	0.2748254193313927
7	8	0.005964035877811272	0.28325340589428827
7	9	0.004799753431125869	0.2119894104631347
7	10	0.004085108788461262	0.2912747864915174
8	9	0.00038620394780227997	0.03427253315427947
8	10	0.008099950071050223	0.0017845480163383165
9	10	0.0064464632163051235	0.036388357843452845
