index	chr1_reads	chr1_plus_fraction	unique_plus_cuts	unique_minus_cuts	mean_pwm_information_bits	mean_pairwise_motif_js_bits	xcorr_peak_lag_1_250	xcorr_peak_value	xcorr_baseline_300_500	xcorr_peak_over_baseline	xcorr_lag9	xcorr_lag10	xcorr_lag50	xcorr_lag100	xcorr_lag150	xcorr_lag200	mean_pairwise_xcorr_distance
1	889161	0.4998239913806386	393261	394158	0.02479444312193932	0.007917555972846628	36	1.1817804413784576	0.011628471869520861	101.62818078237753	0.10061520931691009	0.09524924147738564	0.24677710697045846	0.07289766679768755	0.05420289983085056	0.03704505204767983	0.26178796230646806
2	1118336	0.4988876330548243	472996	475292	0.01824979705424235	0.003900324814203179	44	3.1071525366308124	0.02535783857033963	122.53223112892452	0.2304565088506818	0.2089650207504023	3.0234013720674175	0.4885110527653087	0.08474633691877699	0.05534852206318286	0.20630857694897614
3	949358	0.5001611615428532	430100	430273	0.025414295780666993	0.004966533642852761	54	0.22393864347385148	0.017227094303061036	12.99921156373193	0.05141416107899109	0.047452608512584156	0.13899390147279206	0.09735911587201695	0.04609888940703481	0.03253453341965745	0.13163077535147766
4	1187314	0.4994710750483865	553020	554021	0.04726044461233788	0.01270915967517993	9	0.15747271650808597	0.029085297915685735	5.4141689373297	0.15747271650808597	0.044478734959698285	0.04897742264821195	0.048334086999491856	0.04077256220076734	0.03816192478567133	0.21499523414185207
5	960541	0.5007646732414337	414909	414028	0.021885342249190348	0.006167015504866149	36	22.255438425446346	0.029583815733349582	752.2842430484037	1.4094553304839088	0.9689145782010324	8.982633599415026	2.35312986933851	0.8196418778345534	0.060582187905324825	0.19616227733920716
6	793453	0.5005123176798122	330456	329593	0.03680348639611305	0.005656170786767045	79	11.18837381344239	0.03689342177447509	303.2620254590515	0.18586354795272056	0.1491239007198311	4.583782188752016	5.858527421741226	1.6185684836998986	0.10836117899356641	0.24403682611612132
7	939076	0.49952080555780365	386405	387309	0.03277969320780122	0.004935340713891262	58	3.272198441896585	0.030531740898360738	107.17366077452435	0.13774507582467835	0.1410120668559022	1.8554490361758489	0.7125006694653753	0.09960820826346861	0.06733791728291813	0.21104169279728424
8	758334	0.49989318690708845	369140	368974	0.012757567647885335	0.005182039923016243	2	0.01497689682203493	0.00362736935384136	4.128859060402684	0.012985495391536787	0.011773126305487797	0.011052521386872332	0.0073472487985860565	0.005526260693436166	0.004844607392043158	0.1652827791119736
9	651873	0.497555505443545	309267	309780	0.012460489778620014	0.004607429252729696	57	0.022169979340314883	0.005219538837833345	4.247497725204732	0.012258079836622261	0.011498183372515495	0.01689344826767353	0.008187884400750398	0.006649094060934197	0.0064496212391061715	0.15265531414394623
10	882525	0.5005501260587519	408313	407970	0.0293999575814452	0.0076460442822297485	4	0.07616542951959253	0.014730215661080247	5.170693442108566	0.057806968080681094	0.05473335860009799	0.047412159476423334	0.03566311391305152	0.026340602150140047	0.023230016916407067	0.1686655594722244
