index	mean_motif_distance_to_other_nine	mean_motif_distance_within_retained_nine	leave_one_out_separation_ratio	strand_xcorr_peak_lag	strand_xcorr_peak_over_baseline
4	0.01270915967517993	0.004783661902277848	2.6567846839527225	9	5.4141689373297
1	0.007917555972846628	0.005981562827861175	1.323660086953848	36	101.62818078237753
10	0.0076460442822297485	0.006049440750515394	1.263925806956342	4	5.170693442108566
5	0.006167015504866149	0.006419197944856293	0.9607143381219118	36	752.2842430484037
6	0.005656170786767045	0.0065469091243810715	0.8639452112911015	79	303.2620254590515
8	0.005182039923016243	0.006665441840318771	0.7774488244230804	2	4.128859060402684
3	0.004966533642852761	0.0067193184103596405	0.7391424754027894	54	12.99921156373193
7	0.004935340713891262	0.006727116642600013	0.7336487496943067	58	107.17366077452435
9	0.004607429252729696	0.006809094507890407	0.6766581441028008	57	4.247497725204732
2	0.003900324814203179	0.006985870617522035	0.5583162110704345	44	122.53223112892452
