index_a	index_b	pearson_logcpm_100kb	pearson_logcpm_1mb
1	2	0.7117130540973352	0.7964852667277865
1	3	0.7128430036141069	0.8176406265891439
1	4	0.6807617450907878	0.8160622502367137
1	5	0.8282183640147797	0.9067818808877077
1	6	0.6996859666399244	0.8196734757158975
1	7	0.7397838970350533	0.8688061616601609
1	8	0.7894837919495391	0.856106905850638
1	9	0.7266252884606771	0.8530528966904959
1	10	0.7345900639786099	0.8630383070926675
2	3	0.8233178770742549	0.8948416261276362
2	4	0.7620822044489184	0.834885256874189
2	5	0.7571146606313515	0.8046533581568162
2	6	0.8078332785812347	0.8432753302676906
2	7	0.8144552394895819	0.8600787235481265
2	8	0.7680443717235285	0.8562207084504386
2	9	0.7482249643797688	0.8283804681343847
2	10	0.8099799823218164	0.8735974324125569
3	4	0.7968237009122893	0.8624459312421634
3	5	0.7442861155741298	0.8123560167080035
3	6	0.911146768586149	0.9220676487559395
3	7	0.9126862947125192	0.9313884177955142
3	8	0.8170562101053371	0.8800772292670068
3	9	0.8276502410111073	0.8681845115701661
3	10	0.9213795665920996	0.9410343757334273
4	5	0.7107655271704436	0.8164972409535709
4	6	0.8250060005661769	0.8787645512984101
4	7	0.8142209295896298	0.8900961917749903
4	8	0.6696001699995043	0.7792798437219555
4	9	0.6861194141753886	0.8047560402288728
4	10	0.7755910338747052	0.8605181653249044
5	6	0.7523545427971451	0.8291741415823114
5	7	0.7482311121181515	0.8437784428687369
5	8	0.8104321044351422	0.8525618754012826
5	9	0.7328875877802374	0.8459324997428365
5	10	0.7573700205604635	0.8600379224646697
6	7	0.8949130423741146	0.9287291588350416
6	8	0.7626694030876912	0.805576087848637
6	9	0.781256055302089	0.8491461770125692
6	10	0.8723075867309954	0.9145329085098891
7	8	0.7734022165472507	0.8364997493380253
7	9	0.7727040220481	0.8659883481936331
7	10	0.8811014474202138	0.9364152790458217
8	9	0.8726936366412228	0.8953480571268717
8	10	0.8592810607586946	0.8943428639754137
9	10	0.856516357557677	0.9110806061642518
