diagnostic	value
anndata_version	0.7.5
n_obs	700
n_vars	765
x_type	ndarray
x_dtype	float32
raw_present	True
layers	NONE
obs_columns	bulk_labels,n_genes,percent_mito,n_counts,S_score,G2M_score,phase,louvain
SRM_match_count	1
SRM_index	5
MRPS21_match_count	1
MRPS21_index	48
label_count:Dendritic	240
label_count:CD14+ Monocyte	129
label_count:CD19+ B	95
label_count:CD4+/CD25 T Reg	68
label_count:CD8+ Cytotoxic T	54
label_count:CD8+/CD45RA+ Naive Cytotoxic	43
label_count:CD56+ NK	31
label_count:CD4+/CD45RO+ Memory	19
label_count:CD34+	13
label_count:CD4+/CD45RA+/CD25- Naive T	8
cd19_b_total	95
cd19_b_percent_mito_lt_0.04	94
cd19_b_percent_mito_ge_0.04	1
selected_percent_mito_min	0.00708690798
selected_percent_mito_max	0.0323212519
selected_srm_min	-0.531000018
selected_srm_max	8.03600025
selected_mrps21_min	-0.728999972
selected_mrps21_max	3.71000004
diff_min	-3.25700009
diff_max	7.71100026
diff_eq_pos1	0
diff_eq_neg1	0
diff_gt_pos1	37
diff_lt_neg1	20
diff_within_inclusive	37
partition_total	94
