selected	180
allele_matched	152
metadata	LP6005442-DNA_B02	AFR	Africa	Yoruba	HGDP
metadata	LP6005441-DNA_F01	AFR	Africa	BantuSouthAfrica	HGDP
metadata	HG02724	CSA	SAS	PJL	1000 Genomes
metadata	HG00190	EUR	EUR	FIN	1000 Genomes
concordance	Sample1	LP6005442-DNA_B02	151/152	0.993421
concordance	Sample1	LP6005441-DNA_F01	70/152	0.460526
concordance	Sample1	HG02724	53/152	0.348684
concordance	Sample1	HG00190	75/152	0.493421
accepted	Sample1	LP6005442-DNA_B02	AFR
concordance	Sample2	LP6005442-DNA_B02	71/152	0.467105
concordance	Sample2	LP6005441-DNA_F01	152/152	1.000000
concordance	Sample2	HG02724	65/152	0.427632
concordance	Sample2	HG00190	65/152	0.427632
accepted	Sample2	LP6005441-DNA_F01	AFR
concordance	Sample3	LP6005442-DNA_B02	54/152	0.355263
concordance	Sample3	LP6005441-DNA_F01	65/152	0.427632
concordance	Sample3	HG02724	152/152	1.000000
concordance	Sample3	HG00190	74/152	0.486842
accepted	Sample3	HG02724	SAS
concordance	Sample4	LP6005442-DNA_B02	76/152	0.500000
concordance	Sample4	LP6005441-DNA_F01	65/152	0.427632
concordance	Sample4	HG02724	74/152	0.486842
concordance	Sample4	HG00190	152/152	1.000000
accepted	Sample4	HG00190	EUR
