Chromosome	FilteredUniqueCpGs	Length	Density
1	2	99062180	2.0189339665248634e-08
2	6	123451405	4.860212000017335e-08
3	5	121534940	4.1140432537342761e-08
4	3	8011800	3.7444768965775481e-07
5	5	76278832	6.5548984808786798e-08
6	2	66143299	3.0237378997379611e-08
8	1	38659334	2.5866974325010358e-08
9	2	33574751	5.9568572824263092e-08
12	1	23235100	4.3038334244311406e-08
13	2	22362767	8.943437097922632e-08
14	1	23265108	4.298282217301549e-08
17	2	16938386	1.1807500431268954e-07
19	3	12787533	2.3460350014346005e-07
21	1	13093161	7.637575066861242e-08
24	1	11344391	8.8149288930538448e-08
26	1	46055897	2.1712746144103977e-08
29	1	3496993	2.8595996617665522e-07
30	1	22021689	4.5409777606068273e-08
W	3	6742290	4.4495267928255828e-07
Z	8	79826082	1.0021787114642555e-07
MEAN		20	1.1282568023118122e-07
