ACTB	7510.16	7526.04	0.394653	0.174193	23	True
ACTG1	2135.38	2156.21	0.0550174	0.0275097	25	True
B2M	9232.42	9082.21	0.0456001	0.0228001	12	True
CD74	5180.06	5631.27	0.024624	0.0123113	12	True
DEFB110	109002	6485	2	1	2	True
EEF1A1	9570.74	10495.1	0.351786	0.154751	23	True
ENSG00000269968	3859.56	5637.48	1.72161e-06	1.72161e-06	4	True
GAPDH	4082.07	4509.24	0.21992	0.10996	11	True
HLA-B	2420.03	2698.95	0.0423544	0.0153252	13	True
HLA-DRA	2322.55	2738.33	0.00709033	0.00354549	2	True
IGHG1	8453.21	9409.31	0.0193306	0.00966562	3	True
JCHAIN	2335.15	2818.64	0.126898	0.06345	5	True
LINC01766	2154.72	2571.32	0.204255	0.102127	25	True
PFN1	2181.57	2388.33	0.0347126	0.0173571	3	True
PPIA	2032.68	2729.85	0.0825796	0.023899	18	True
RPL10	2661.14	2976.97	0.178067	0.0770408	16	True
RPL13	2240.37	2325.38	0.330462	0.109948	15	True
RPL13A	2106.43	2098.06	0.42273	0.211365	22	True
RPL21	2510.84	2977.63	0.136981	0.0684913	10	True
RPL23	2049.42	2213.26	0.14084	0.0704192	19	True
RPL26	2884.56	3492.49	0.11008	0.0550398	13	True
RPL27	2323.25	2103.99	0.0222728	0.0111355	8	True
RPL27A	3114.35	4157.49	0.175829	0.0836978	12	True
RPL3	2008.65	2149.48	0.0502621	0.0251306	18	True
RPL30	2697.83	2810.03	0.138303	0.0686361	13	True
RPL31	3308.49	3909.22	0.0864295	0.0432153	11	True
RPL37A	3373.17	4002.81	0.113459	0.053996	13	True
RPL39	4119.17	4033.12	2.91153e-07	2.91153e-07	3	True
RPL4	2762.11	3917.77	0.626755	0.216811	17	True
RPL41	3834.29	5228.14	0.159305	0.0796522	6	True
RPL7	2119.36	2777.26	0.0874821	0.0437418	8	True
RPL7A	2029.53	2357.48	0.146837	0.0734196	9	True
RPLP0	2501.31	2916.12	0.356308	0.178154	27	True
RPLP1	2620.05	3127.3	0.0158178	0.00790997	5	True
RPLP2	2384.86	2711.16	0.279099	0.13955	9	True
RPS11	2165.11	2957.62	0.0504726	0.0252366	9	True
RPS12	3349.5	3601.8	0.02681	0.0134051	2	True
RPS13	2007.93	2300.4	0.133372	0.0666858	10	True
RPS15A	2316.44	2739.33	0.0406928	0.020347	13	True
RPS17	3182.01	3774.73	0.016275	0.00813708	9	True
RPS18	5895.77	6275.12	0.0617743	0.0308872	8	True
RPS19	4134.54	4684.44	0.150684	0.0705753	8	True
RPS2	2189.27	2332.8	0.523476	0.241629	17	True
RPS20	2846.63	2832.79	0.00945483	0.00472806	16	True
RPS21	2333.52	2735.53	0.262298	0.131149	5	True
RPS23	3752.93	3592.23	0.163003	0.079237	9	True
RPS24	2363.97	2149.82	0.441403	0.216606	18	True
RPS25	2270.73	2667.18	0.0637246	0.0318625	6	True
RPS27	5974.63	6673.96	0.0916122	0.0458064	5	True
RPS27A	2139.78	2409.59	0.4509	0.225449	10	True
RPS29	9175.29	9420.04	0.00471417	0.00235728	8	True
RPS3	2954.3	2774.24	0.501497	0.23047	20	True
RPS3A	2656.78	3037.76	0.00262651	0.00131351	14	True
RPS4X	2400.9	2394.73	0.0286619	0.0143298	5	True
RPS6	2840.19	3150.3	0.0346972	0.0173496	5	True
TMSB4X	9765.19	11448.1	0.127912	0.0639556	4	True
TPT1	3894.1	3995.29	0.183173	0.0458775	14	True
