section	metric	value
mix	read_count	691
mix	unique_canonical_full_sequences	627
mix	length_histogram	50:691
endo	read_count	395
endo	unique_canonical_full_sequences	370
endo	length_histogram	50:395
exo	read_count	592
exo	unique_canonical_full_sequences	544
exo	length_histogram	50:592
mix_exact_membership	exo_only_exact	180
mix_exact_membership	endo_only_exact	0
mix_exact_membership	both_exact	428
mix_exact_membership	neither_exact	83
exo_exact_membership	exo_only_exact	176
exo_exact_membership	endo_only_exact	0
exo_exact_membership	both_exact	416
exo_exact_membership	neither_exact	0
endo_exact_membership	exo_only_exact	0
endo_exact_membership	endo_only_exact	0
endo_exact_membership	both_exact	395
endo_exact_membership	neither_exact	0
mix_k15	exo_total_kmers	5986
mix_k15	endo_total_kmers	5341
mix_k15	exo_unique_kmers	645
mix_k15	endo_unique_kmers	0
mix_k15	classified_exo	93
mix_k15	classified_endo	0
mix_k15	classified_tie	0
mix_k15	classified_uninformative	598
mix_k15	margin_p10	0
mix_k15	margin_p50	0
mix_k15	margin_p90	4
exo_k15	exo_total_kmers	5986
exo_k15	endo_total_kmers	5341
exo_k15	exo_unique_kmers	645
exo_k15	endo_unique_kmers	0
exo_k15	classified_exo	65
exo_k15	classified_endo	0
exo_k15	classified_tie	0
exo_k15	classified_uninformative	527
exo_k15	margin_p10	0
exo_k15	margin_p50	0
exo_k15	margin_p90	2
endo_k15	exo_total_kmers	5986
endo_k15	endo_total_kmers	5341
endo_k15	exo_unique_kmers	645
endo_k15	endo_unique_kmers	0
endo_k15	classified_exo	0
endo_k15	classified_endo	0
endo_k15	classified_tie	0
endo_k15	classified_uninformative	395
endo_k15	margin_p10	0
endo_k15	margin_p50	0
endo_k15	margin_p90	0
mix_k21	exo_total_kmers	5915
mix_k21	endo_total_kmers	5127
mix_k21	exo_unique_kmers	788
mix_k21	endo_unique_kmers	0
mix_k21	classified_exo	107
mix_k21	classified_endo	0
mix_k21	classified_tie	0
mix_k21	classified_uninformative	584
mix_k21	margin_p10	0
mix_k21	margin_p50	0
mix_k21	margin_p90	7
exo_k21	exo_total_kmers	5915
exo_k21	endo_total_kmers	5127
exo_k21	exo_unique_kmers	788
exo_k21	endo_unique_kmers	0
exo_k21	classified_exo	78
exo_k21	classified_endo	0
exo_k21	classified_tie	0
exo_k21	classified_uninformative	514
exo_k21	margin_p10	0
exo_k21	margin_p50	0
exo_k21	margin_p90	4
endo_k21	exo_total_kmers	5915
endo_k21	endo_total_kmers	5127
endo_k21	exo_unique_kmers	788
endo_k21	endo_unique_kmers	0
endo_k21	classified_exo	0
endo_k21	classified_endo	0
endo_k21	classified_tie	0
endo_k21	classified_uninformative	395
endo_k21	margin_p10	0
endo_k21	margin_p50	0
endo_k21	margin_p90	0
mix_k31	exo_total_kmers	5355
mix_k31	endo_total_kmers	4429
mix_k31	exo_unique_kmers	926
mix_k31	endo_unique_kmers	0
mix_k31	classified_exo	135
mix_k31	classified_endo	0
mix_k31	classified_tie	0
mix_k31	classified_uninformative	556
mix_k31	margin_p10	0
mix_k31	margin_p50	0
mix_k31	margin_p90	9
exo_k31	exo_total_kmers	5355
exo_k31	endo_total_kmers	4429
exo_k31	exo_unique_kmers	926
exo_k31	endo_unique_kmers	0
exo_k31	classified_exo	102
exo_k31	classified_endo	0
exo_k31	classified_tie	0
exo_k31	classified_uninformative	490
exo_k31	margin_p10	0
exo_k31	margin_p50	0
exo_k31	margin_p90	8
endo_k31	exo_total_kmers	5355
endo_k31	endo_total_kmers	4429
endo_k31	exo_unique_kmers	926
endo_k31	endo_unique_kmers	0
endo_k31	classified_exo	0
endo_k31	classified_endo	0
endo_k31	classified_tie	0
endo_k31	classified_uninformative	395
endo_k31	margin_p10	0
endo_k31	margin_p50	0
endo_k31	margin_p90	0
