comparison	field	metric	value
endo_vs_exo	seq	positionwise_equal_first_395	395
endo_vs_exo	seq	multiset_common	395
endo_vs_exo	seq	endo_multiset_only	0
endo_vs_exo	seq	exo_multiset_only	197
endo_vs_exo	seqqual	positionwise_equal_first_395	395
endo_vs_exo	seqqual	multiset_common	395
endo_vs_exo	seqqual	endo_multiset_only	0
endo_vs_exo	seqqual	exo_multiset_only	197
endo_vs_exo	record	positionwise_equal_first_395	395
endo_vs_exo	record	multiset_common	395
endo_vs_exo	record	endo_multiset_only	0
endo_vs_exo	record	exo_multiset_only	197
exo_vs_mix	seq	positionwise_equal_first_592	592
exo_vs_mix	seq	multiset_common	592
exo_vs_mix	seq	exo_multiset_only	0
exo_vs_mix	seq	mix_multiset_only	99
exo_vs_mix	seqqual	positionwise_equal_first_592	592
exo_vs_mix	seqqual	multiset_common	592
exo_vs_mix	seqqual	exo_multiset_only	0
exo_vs_mix	seqqual	mix_multiset_only	99
exo_vs_mix	record	positionwise_equal_first_592	592
exo_vs_mix	record	multiset_common	592
exo_vs_mix	record	exo_multiset_only	0
exo_vs_mix	record	mix_multiset_only	99
endo_vs_mix	seq	positionwise_equal_first_395	395
endo_vs_mix	seq	multiset_common	395
endo_vs_mix	seq	endo_multiset_only	0
endo_vs_mix	seq	mix_multiset_only	296
endo_vs_mix	seqqual	positionwise_equal_first_395	395
endo_vs_mix	seqqual	multiset_common	395
endo_vs_mix	seqqual	endo_multiset_only	0
endo_vs_mix	seqqual	mix_multiset_only	296
endo_vs_mix	record	positionwise_equal_first_395	395
endo_vs_mix	record	multiset_common	395
endo_vs_mix	record	endo_multiset_only	0
endo_vs_mix	record	mix_multiset_only	296
