alignment	parsimony_informative_sites	total_sites	percent_informative
1001705at2759.faa.mafft	0	454	0.0
1003258at2759.faa.mafft	0	441	0.0
100698at2759.faa.mafft	0	806	0.0
1010730at2759.faa.mafft	0	578	0.0
1014314at2759.faa.mafft	9	357	2.521
1018517at2759.faa.mafft	8	293	2.7304
1019762at2759.faa.mafft	0	684	0.0
1025450at2759.faa.mafft	0	417	0.0
1030907at2759.faa.mafft	0	362	0.0
1032689at2759.faa.mafft	0	312	0.0
1038775at2759.faa.mafft	0	383	0.0
1041560at2759.faa.mafft	0	457	0.0
1049599at2759.faa.mafft	0	506	0.0
1051021at2759.faa.mafft	0	503	0.0
1053181at2759.faa.mafft	0	291	0.0
1065019at2759.faa.mafft	0	411	0.0
1076134at2759.faa.mafft	0	270	0.0
1079130at2759.faa.mafft	0	417	0.0
1079827at2759.faa.mafft	0	260	0.0
1085752at2759.faa.mafft	0	457	0.0
1087488at2759.faa.mafft	0	428	0.0
1090038at2759.faa.mafft	0	289	0.0
1094121at2759.faa.mafft	0	183	0.0
1096688at2759.faa.mafft	0	483	0.0
1106766at2759.faa.mafft	0	609	0.0
1107630at2759.faa.mafft	0	339	0.0
1108845at2759.faa.mafft	0	495	0.0
1111142at2759.faa.mafft	0	531	0.0
1112002at2759.faa.mafft	0	864	0.0
1128607at2759.faa.mafft	0	337	0.0
1129824at2759.faa.mafft	0	269	0.0
1138059at2759.faa.mafft	0	285	0.0
1157302at2759.faa.mafft	0	246	0.0
1161199at2759.faa.mafft	0	309	0.0
1173229at2759.faa.mafft	12	446	2.6906
1178688at2759.faa.mafft	0	239	0.0
1182451at2759.faa.mafft	0	329	0.0
1193442at2759.faa.mafft	12	460	2.6087
1194691at2759.faa.mafft	0	412	0.0
1194797at2759.faa.mafft	0	853	0.0
1197019at2759.faa.mafft	0	203	0.0
1200489at2759.faa.mafft	0	210	0.0
1217666at2759.faa.mafft	0	253	0.0
1220881at2759.faa.mafft	0	332	0.0
1222562at2759.faa.mafft	0	315	0.0
1223488at2759.faa.mafft	0	197	0.0
1228942at2759.faa.mafft	0	279	0.0
1236198at2759.faa.mafft	0	147	0.0
1247641at2759.faa.mafft	0	269	0.0
1248958at2759.faa.mafft	0	986	0.0
1249159at2759.faa.mafft	5	205	2.439
1251252at2759.faa.mafft	0	267	0.0
1257440at2759.faa.mafft	0	185	0.0
1258856at2759.faa.mafft	0	892	0.0
1259741at2759.faa.mafft	0	393	0.0
1260807at2759.faa.mafft	0	466	0.0
1264469at2759.faa.mafft	0	290	0.0
1266231at2759.faa.mafft	0	236	0.0
1269244at2759.faa.mafft	0	255	0.0
1269649at2759.faa.mafft	12	291	4.1237
1275837at2759.faa.mafft	0	365	0.0
1284731at2759.faa.mafft	0	270	0.0
1287094at2759.faa.mafft	0	208	0.0
1287401at2759.faa.mafft	0	279	0.0
1291729at2759.faa.mafft	0	220	0.0
1304061at2759.faa.mafft	0	197	0.0
1309031at2759.faa.mafft	0	574	0.0
1312453at2759.faa.mafft	0	1354	0.0
1314980at2759.faa.mafft	0	843	0.0
1322299at2759.faa.mafft	0	621	0.0
1322642at2759.faa.mafft	0	299	0.0
1323575at2759.faa.mafft	0	440	0.0
1324510at2759.faa.mafft	0	458	0.0
1338131at2759.faa.mafft	0	200	0.0
1339553at2759.faa.mafft	0	465	0.0
1342242at2759.faa.mafft	10	378	2.6455
1346165at2759.faa.mafft	0	432	0.0
1346432at2759.faa.mafft	8	262	3.0534
1348942at2759.faa.mafft	0	352	0.0
1355894at2759.faa.mafft	0	178	0.0
1358374at2759.faa.mafft	0	434	0.0
1364586at2759.faa.mafft	0	252	0.0
1370285at2759.faa.mafft	0	693	0.0
1370304at2759.faa.mafft	0	799	0.0
1377237at2759.faa.mafft	0	281	0.0
1379600at2759.faa.mafft	0	872	0.0
1380409at2759.faa.mafft	0	211	0.0
1382842at2759.faa.mafft	0	187	0.0
1395649at2759.faa.mafft	0	180	0.0
1398309at2759.faa.mafft	0	167	0.0
1404162at2759.faa.mafft	0	580	0.0
1405073at2759.faa.mafft	3	180	1.6667
1405146at2759.faa.mafft	0	225	0.0
1407446at2759.faa.mafft	0	171	0.0
1421503at2759.faa.mafft	0	161	0.0
1423847at2759.faa.mafft	0	382	0.0
142542at2759.faa.mafft	0	1092	0.0
1426075at2759.faa.mafft	0	141	0.0
1428265at2759.faa.mafft	0	244	0.0
1428854at2759.faa.mafft	29	1021	2.8404
1430056at2759.faa.mafft	0	239	0.0
1432328at2759.faa.mafft	0	323	0.0
1434266at2759.faa.mafft	0	230	0.0
1440961at2759.faa.mafft	0	267	0.0
1441854at2759.faa.mafft	0	308	0.0
1442062at2759.faa.mafft	0	521	0.0
1445102at2759.faa.mafft	0	261	0.0
1450538at2759.faa.mafft	0	312	0.0
1454155at2759.faa.mafft	0	314	0.0
1455730at2759.faa.mafft	0	551	0.0
1459797at2759.faa.mafft	0	135	0.0
1474000at2759.faa.mafft	0	405	0.0
1488235at2759.faa.mafft	0	182	0.0
1488436at2759.faa.mafft	0	138	0.0
1490022at2759.faa.mafft	0	192	0.0
1504863at2759.faa.mafft	6	228	2.6316
1513531at2759.faa.mafft	0	289	0.0
1525971at2759.faa.mafft	2	153	1.3072
1526152at2759.faa.mafft	0	189	0.0
1530008at2759.faa.mafft	0	244	0.0
1538526at2759.faa.mafft	0	163	0.0
1545004at2759.faa.mafft	0	98	0.0
1552706at2759.faa.mafft	0	145	0.0
1558822at2759.faa.mafft	0	91	0.0
156083at2759.faa.mafft	5	2341	0.2136
1563319at2759.faa.mafft	0	340	0.0
1567796at2759.faa.mafft	0	199	0.0
1575179at2759.faa.mafft	0	110	0.0
1576404at2759.faa.mafft	0	230	0.0
1588798at2759.faa.mafft	0	320	0.0
1593937at2759.faa.mafft	0	375	0.0
160593at2759.faa.mafft	0	2731	0.0
1617752at2759.faa.mafft	0	121	0.0
1620056at2759.faa.mafft	10	189	5.291
1626636at2759.faa.mafft	0	219	0.0
1633672at2759.faa.mafft	0	102	0.0
