  9.42	20317	20314	118235	97743	S	9606	                                                              Homo sapiens
  0.24	523	0	6265	4275	S	3050299	                    Lymphocryptovirus humangamma4
  0.12	263	263	717	109	S	100272	        uncultured eukaryote
  0.11	245	9	586	462	S	9593	                                                              Gorilla gorilla
  0.11	238	238	1438	1299	S	9823	                                                      Sus scrofa
  0.10	221	221	599	444	S	9483	                                                              Callithrix jacchus
  0.09	195	194	570	513	S	9598	                                                              Pan troglodytes
  0.07	144	144	381	327	S	61853	                                                            Nomascus leucogenys
  0.07	142	142	372	314	S	9590	                                                            Symphalangus syndactylus
  0.06	137	137	307	206	S	10181	                                                        Heterocephalus glaber
  0.06	129	129	196	105	S	9565	                                                              Theropithecus gelada
  0.06	127	127	291	228	S	591936	                                                              Piliocolobus tephrosceles
  0.05	118	118	276	215	S	81572	                                                            Hylobates moloch
  0.05	114	114	265	211	S	2715852	                                                            Cebus imitator
  0.05	111	111	211	146	S	1868482	                                                        Carlito syrichta
  0.05	110	110	187	106	S	9555	                                                              Papio anubis
  0.05	110	110	303	253	S	54180	                                                              Trachypithecus francoisi
  0.05	107	107	294	201	S	10090	                                                              Mus musculus
  0.05	106	0	250	218	S	27679	                                                            Saimiri boliviensis
  0.05	102	102	253	192	S	9544	                                                              Macaca mulatta
  0.05	101	101	259	229	S	37293	                                                          Aotus nancymaae
  0.04	95	95	370	8	S	1306438	                                              Fargesia denudata
  0.04	93	93	236	208	S	9597	                                                              Pan paniscus
  0.04	89	89	240	217	S	9601	                                                              Pongo abelii
  0.04	88	0	229	192	S	54131	                                                              Colobus angolensis
  0.04	86	86	204	192	S	60711	                                                              Chlorocebus sabaeus
  0.03	70	70	196	176	S	9515	                                                            Sapajus apella
  0.03	65	65	136	129	S	9470	                                                        Nycticebus coucang
  0.03	64	64	169	140	S	32630	        synthetic construct
  0.03	61	61	107	82	S	30611	                                                        Otolemur garnettii
