gene_alignment	1000/1000
cell_types	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core
marker_union_size	480
top_markers	B_Cell:Gene_167,Gene_168,Gene_156,Gene_502,Gene_194;Endothelial:Gene_297,Gene_295,Gene_323,Gene_285,Gene_283;Fibroblast_Stroma:Gene_57,Gene_77,Gene_99,Gene_66,Gene_89;Macrophage:Gene_222,Gene_212,Gene_215,Gene_224,Gene_239;T_Cell:Gene_100,Gene_135,Gene_119,Gene_107,Gene_122;Tumor_Core:Gene_34,Gene_10,Gene_49,Gene_9,Gene_30
signature_pairwise_correlation_quantiles	-0.0971,-0.0706,-0.0547,-0.0325,-0.0147,0.0006,0.0048
all_gene_relative_residual_quantiles	0.2803,0.3462,0.3675,0.4292,0.4862,0.5072,0.5527
marker_relative_residual_quantiles	0.2410,0.3123,0.3346,0.3945,0.4374,0.4677,0.5171
coefficient_integer_deviation_quantiles	0.0000,0.0000,0.0000,0.0043,0.0259,0.0518,0.2196
sum_coefficient_quantiles	0.9391,0.9917,1.0390,2.0129,2.9827,3.0754,5.0388
B_Cell_all_coef_quantiles	0.0000,0.0000,0.0000,0.0075,0.9417,1.0255,3.0946
B_Cell_all_marker_correlation	0.999610
B_Cell_presence_counts_025_050_075	257,257,257
B_Cell_all_marker_presence_jaccard_050	1.000000
Endothelial_all_coef_quantiles	0.0000,0.0000,0.0000,0.0054,0.9370,1.0320,3.0601
Endothelial_all_marker_correlation	0.999689
Endothelial_presence_counts_025_050_075	254,254,254
Endothelial_all_marker_presence_jaccard_050	1.000000
Fibroblast_Stroma_all_coef_quantiles	0.0000,0.0000,0.0000,0.0244,1.0085,1.9736,3.0803
Fibroblast_Stroma_all_marker_correlation	0.999764
Fibroblast_Stroma_presence_counts_025_050_075	386,386,386
Fibroblast_Stroma_all_marker_presence_jaccard_050	1.000000
Macrophage_all_coef_quantiles	0.0000,0.0000,0.0000,0.0038,0.9291,1.0168,4.0790
Macrophage_all_marker_correlation	0.999484
Macrophage_presence_counts_025_050_075	244,244,244
Macrophage_all_marker_presence_jaccard_050	1.000000
T_Cell_all_coef_quantiles	0.0000,0.0000,0.0000,0.0080,0.9498,1.0364,3.9644
T_Cell_all_marker_correlation	0.999670
T_Cell_presence_counts_025_050_075	260,260,260
T_Cell_all_marker_presence_jaccard_050	1.000000
Tumor_Core_all_coef_quantiles	0.0000,0.0000,0.0000,0.0000,0.0180,0.0462,2.1074
Tumor_Core_all_marker_correlation	0.999371
Tumor_Core_presence_counts_025_050_075	67,67,67
Tumor_Core_all_marker_presence_jaccard_050	1.000000
