GroupBy(donor_id)	count(covid_isg_score)	mean(covid_isg_score)
donor1	11264	-0.01190396472749
donor10	14101	-0.0034396649641574
donor11	5942	0.004801879278279
donor12	8704	0.026266824704167
donor13	5756	0.21467091605859
donor14	15886	0.7445265425957
donor15	5857	0.073412578850571
donor16	6108	-0.012718481724127
donor17	8626	0.050918194009788
donor18	7557	0.53523359405114
donor19	7523	0.14914228855003
donor2	10595	-0.021403259081918
donor20	5868	0.096069873236286
donor21	9332	0.0017431734137043
donor22	5492	0.10383554810101
donor23	5762	-0.038205415992607
donor24	7828	-0.018303982264864
donor25	6916	-0.012309994044592
donor26	10801	0.46165379719899
donor27	8364	-0.028586204139472
donor28	6157	0.03539622808917
donor29	10745	-0.0089437676683309
donor3	11327	0.63603364861161
donor30	5185	0.26321245292613
donor31	5851	0.23829164945096
donor32	7848	-0.0045770365544127
donor33	5159	1.0177941882731
donor4	17134	0.084346489865824
donor5	11067	-0.00260894629078
donor6	6663	0.0043775096764806
donor7	8490	0.055783453290856
donor8	7888	0.1532754880836
donor9	7837	-0.039657947285546
