GroupBy(donor_id)	mean(covid_isg_score)	GroupBy(donor_id)	mean(hla_score)	GroupBy(donor_id)	mean(mono_score)	GroupBy(donor_id)	mean(tcell_score)	GroupBy(donor_id)	mean(nk_score)	GroupBy(donor_id)	mean(bcell_score)	z_isg	z_hla	z_mono	z_tcell	z_nk	z_bcell	0.0
donor1	-0.01190396472749	donor1	0.35223657694902	donor1	-0.099055458236511	donor1	0.23299185350913	donor1	0.17168787815868	donor1	-0.0088562974882855	-0.6213417870376831	0.8190483881206788	-0.9386276676271869	1.1066086174578018	1.0980905679178312	-0.11309385564579598	0.0
donor10	-0.0034396649641574	donor10	0.27202921378377	donor10	-0.01006989542599	donor10	0.10177608134701	donor10	0.21942877023749	donor10	0.082168917347241	-0.5875826419281331	0.11643264609784264	-0.721466267694621	0.4280216176084524	1.3092613375935043	1.5288699926527973	0.0
donor11	0.004801879278279	donor11	0.2135092895623	donor11	-0.35436497641032	donor11	0.29767229474979	donor11	0.41396795670065	donor11	0.01463616134067	-0.5547119384102275	-0.3962013360875024	-1.5616879779922521	1.4411058036360223	2.1697603343380316	0.31067628512769185	0.0
donor12	0.026266824704167	donor12	0.15944772769449	donor12	-0.20931790448895	donor12	0.17863719015983	donor12	0.29269967695198	donor12	-0.016127900503023	-0.4691008154984115	-0.8697801062610823	-1.207713420775201	0.8255115563175343	1.633358209101293	-0.2442631068357207	1.0
donor13	0.21467091605859	donor13	0.41021706147319	donor13	0.69341763545674	donor13	-0.2083672046712	donor13	-0.22630914978454	donor13	0.055121172026787	0.2823329991237952	1.326956883664428	0.9953328648443863	-1.1758953392836562	-0.6623570286762839	1.0409676012723437	2.0
donor14	0.7445265425957	donor14	0.399101850224	donor14	0.36041705064083	donor14	0.026256400160275	donor14	0.051721123353955	donor14	0.042113187601567	2.3956174388912057	1.2295877383466856	0.18267437403989642	0.03746891924251628	0.5674454365745297	0.8063222867401525	2.0
donor15	0.073412578850571	donor15	0.2618599129379	donor15	0.10300034595736	donor15	0.10589268934753	donor15	-0.4621118913337	donor15	0.12996315946806	-0.2810639547976081	0.027349666958465784	-0.44552833873185343	0.4493108012683046	-1.7053757963685505	2.3910093225188547	0.0
donor16	-0.012718481724127	donor16	0.13646172280355	donor16	0.38149649004058	donor16	-0.11121495269918	donor16	0.0051263457389239	donor16	-0.017320345683705	-0.6245904193229882	-1.071137291502468	0.2341168825240049	-0.6734690371098007	0.36134423855774156	-0.26577310141574506	0.0
donor17	0.050918194009788	donor17	0.20133250955513	donor17	-0.14295896559212	donor17	0.22424408998997	donor17	-0.15568330248949	donor17	0.0093830846188214	-0.3707809099177161	-0.5028698136755217	-1.0457702963656827	1.0613692494760003	-0.3499599643802869	0.2159183426696657	2.0
donor18	0.53523359405114	donor18	0.15357859715886	donor18	0.18212775740156	donor18	0.21253233442506	donor18	-0.3577137949499	donor18	-0.042699887221189	1.5608701806561696	-0.9211936341914854	-0.25242488577228006	1.0008014919510744	-1.2435950167038305	-0.7235834978673096	2.0
