GroupBy(donor_id)	mean(covid_isg_score)	GroupBy(donor_id)	mean(hla_score)
donor1	-0.01190396472749	donor1	0.35223657694902
donor10	-0.0034396649641574	donor10	0.27202921378377
donor11	0.004801879278279	donor11	0.2135092895623
donor12	0.026266824704167	donor12	0.15944772769449
donor13	0.21467091605859	donor13	0.41021706147319
donor14	0.7445265425957	donor14	0.399101850224
donor15	0.073412578850571	donor15	0.2618599129379
donor16	-0.012718481724127	donor16	0.13646172280355
donor17	0.050918194009788	donor17	0.20133250955513
donor18	0.53523359405114	donor18	0.15357859715886
donor19	0.14914228855003	donor19	0.097078369898265
donor2	-0.021403259081918	donor2	0.25757521392051
donor20	0.096069873236286	donor20	0.34955276354927
donor21	0.0017431734137043	donor21	0.30145326396681
donor22	0.10383554810101	donor22	0.37303598848681
donor23	-0.038205415992607	donor23	0.11512315036823
donor24	-0.018303982264864	donor24	0.23244896387128
donor25	-0.012309994044592	donor25	0.32865689614478
donor26	0.46165379719899	donor26	0.2163812121374
donor27	-0.028586204139472	donor27	0.47493948886002
donor28	0.03539622808917	donor28	0.39040087692694
donor29	-0.0089437676683309	donor29	0.1218724813082
donor3	0.63603364861161	donor3	0.44266177028607
donor30	0.26321245292613	donor30	0.51522845485624
donor31	0.23829164945096	donor31	0.19247616510907
donor32	-0.0045770365544127	donor32	0.30839710403964
donor33	1.0177941882731	donor33	0.22311754322395
donor4	0.084346489865824	donor4	0.19881972022393
donor5	-0.00260894629078	donor5	0.21466555809391
donor6	0.0043775096764806	donor6	0.17133457148512
donor7	0.055783453290856	donor7	0.19485761629024
donor8	0.1532754880836	donor8	0.22579472793547
donor9	-0.039657947285546	donor9	0.032701085174811
