GroupBy(donor_id)	mean(tcell_score)
donor1	0.23299185350913
donor10	0.10177608134701
donor11	0.29767229474979
donor12	0.17863719015983
donor13	-0.2083672046712
donor14	0.026256400160275
donor15	0.10589268934753
donor16	-0.11121495269918
donor17	0.22424408998997
donor18	0.21253233442506
donor19	0.21818303763982
donor2	-0.11379788958939
donor20	-0.21317469633679
donor21	0.14458465330187
donor22	0.11673802430257
donor23	0.072702299523082
donor24	0.077761673357613
donor25	-0.057571992616147
donor26	0.055076223363863
donor27	0.09397074615153
donor28	-0.33279872049602
donor29	0.20395465816514
donor3	-0.14534355470114
donor30	-0.63859094632985
donor31	-0.14319510409142
donor32	0.11175466685743
donor33	0.175551597227
donor4	-0.13906140228384
donor5	0.12130405676134
donor6	0.0054494532442301
donor7	-0.11808186585225
donor8	0.16766155623607
donor9	-0.096128356773879
