GroupBy(donor_id)	mean(nk_score)
donor1	0.17168787815868
donor10	0.21942877023749
donor11	0.41396795670065
donor12	0.29269967695198
donor13	-0.22630914978454
donor14	0.051721123353955
donor15	-0.4621118913337
donor16	0.0051263457389239
donor17	-0.15568330248949
donor18	-0.3577137949499
donor19	-0.24062314027054
donor2	-0.25329570028681
donor20	-0.31601723659548
donor21	0.12190811019025
donor22	0.18583134963602
donor23	0.075487693992116
donor24	0.26678201623039
donor25	0.038682527388779
donor26	0.025799483142398
donor27	0.16342619946936
donor28	-0.31013798176594
donor29	-0.032535053436967
donor3	-0.25249807173407
donor30	-0.37913965672895
donor31	-0.36400276487582
donor32	-0.20822352599419
donor33	-0.13071209394032
donor4	-0.0035231158581894
donor5	0.038592273551363
donor6	-0.28438033209406
donor7	-0.19550862478365
donor8	-0.071333823060488
donor9	-0.35404838705815
