GroupBy(donor_id)	mean(mono_score)
donor1	-0.099055458236511
donor10	-0.01006989542599
donor11	-0.35436497641032
donor12	-0.20931790448895
donor13	0.69341763545674
donor14	0.36041705064083
donor15	0.10300034595736
donor16	0.38149649004058
donor17	-0.14295896559212
donor18	0.18212775740156
donor19	0.036339129315314
donor2	0.57907441675916
donor20	0.77243369030298
donor21	0.032486489571115
donor22	-0.0292001593943
donor23	0.099265533024724
donor24	0.069082289074184
donor25	0.45625792878166
donor26	0.28961420747018
donor27	0.28782091643377
donor28	1.0918916189547
donor29	-0.042509751558226
donor3	0.76101627992371
donor30	1.6769105931679
donor31	0.68385301857917
donor32	0.10606567421423
donor33	0.061746924012098
donor4	0.50837741966187
donor5	-0.010049981098248
donor6	0.047039928575068
donor7	0.60409843046952
donor8	-0.024552670476779
donor9	0.46182931707906
