GroupBy(donor_id)	mean(covid_isg_score)	GroupBy(donor_id)	mean(hla_score)	GroupBy(donor_id)	mean(mono_score)	GroupBy(donor_id)	mean(tcell_score)
donor1	-0.01190396472749	donor1	0.35223657694902	donor1	-0.099055458236511	donor1	0.23299185350913
donor10	-0.0034396649641574	donor10	0.27202921378377	donor10	-0.01006989542599	donor10	0.10177608134701
donor11	0.004801879278279	donor11	0.2135092895623	donor11	-0.35436497641032	donor11	0.29767229474979
donor12	0.026266824704167	donor12	0.15944772769449	donor12	-0.20931790448895	donor12	0.17863719015983
donor13	0.21467091605859	donor13	0.41021706147319	donor13	0.69341763545674	donor13	-0.2083672046712
donor14	0.7445265425957	donor14	0.399101850224	donor14	0.36041705064083	donor14	0.026256400160275
donor15	0.073412578850571	donor15	0.2618599129379	donor15	0.10300034595736	donor15	0.10589268934753
donor16	-0.012718481724127	donor16	0.13646172280355	donor16	0.38149649004058	donor16	-0.11121495269918
donor17	0.050918194009788	donor17	0.20133250955513	donor17	-0.14295896559212	donor17	0.22424408998997
donor18	0.53523359405114	donor18	0.15357859715886	donor18	0.18212775740156	donor18	0.21253233442506
donor19	0.14914228855003	donor19	0.097078369898265	donor19	0.036339129315314	donor19	0.21818303763982
donor2	-0.021403259081918	donor2	0.25757521392051	donor2	0.57907441675916	donor2	-0.11379788958939
donor20	0.096069873236286	donor20	0.34955276354927	donor20	0.77243369030298	donor20	-0.21317469633679
donor21	0.0017431734137043	donor21	0.30145326396681	donor21	0.032486489571115	donor21	0.14458465330187
donor22	0.10383554810101	donor22	0.37303598848681	donor22	-0.0292001593943	donor22	0.11673802430257
donor23	-0.038205415992607	donor23	0.11512315036823	donor23	0.099265533024724	donor23	0.072702299523082
donor24	-0.018303982264864	donor24	0.23244896387128	donor24	0.069082289074184	donor24	0.077761673357613
donor25	-0.012309994044592	donor25	0.32865689614478	donor25	0.45625792878166	donor25	-0.057571992616147
donor26	0.46165379719899	donor26	0.2163812121374	donor26	0.28961420747018	donor26	0.055076223363863
donor27	-0.028586204139472	donor27	0.47493948886002	donor27	0.28782091643377	donor27	0.09397074615153
donor28	0.03539622808917	donor28	0.39040087692694	donor28	1.0918916189547	donor28	-0.33279872049602
donor29	-0.0089437676683309	donor29	0.1218724813082	donor29	-0.042509751558226	donor29	0.20395465816514
donor3	0.63603364861161	donor3	0.44266177028607	donor3	0.76101627992371	donor3	-0.14534355470114
donor30	0.26321245292613	donor30	0.51522845485624	donor30	1.6769105931679	donor30	-0.63859094632985
donor31	0.23829164945096	donor31	0.19247616510907	donor31	0.68385301857917	donor31	-0.14319510409142
donor32	-0.0045770365544127	donor32	0.30839710403964	donor32	0.10606567421423	donor32	0.11175466685743
donor33	1.0177941882731	donor33	0.22311754322395	donor33	0.061746924012098	donor33	0.175551597227
donor4	0.084346489865824	donor4	0.19881972022393	donor4	0.50837741966187	donor4	-0.13906140228384
donor5	-0.00260894629078	donor5	0.21466555809391	donor5	-0.010049981098248	donor5	0.12130405676134
donor6	0.0043775096764806	donor6	0.17133457148512	donor6	0.047039928575068	donor6	0.0054494532442301
donor7	0.055783453290856	donor7	0.19485761629024	donor7	0.60409843046952	donor7	-0.11808186585225
donor8	0.1532754880836	donor8	0.22579472793547	donor8	-0.024552670476779	donor8	0.16766155623607
donor9	-0.039657947285546	donor9	0.032701085174811	donor9	0.46182931707906	donor9	-0.096128356773879
