GroupBy(donor_id)	mean(covid_isg_score)
donor1	-0.01190396472749
donor10	-0.0034396649641574
donor11	0.004801879278279
donor12	0.026266824704167
donor13	0.21467091605859
donor14	0.7445265425957
donor15	0.073412578850571
donor16	-0.012718481724127
donor17	0.050918194009788
donor18	0.53523359405114
donor19	0.14914228855003
donor2	-0.021403259081918
donor20	0.096069873236286
donor21	0.0017431734137043
donor22	0.10383554810101
donor23	-0.038205415992607
donor24	-0.018303982264864
donor25	-0.012309994044592
donor26	0.46165379719899
donor27	-0.028586204139472
donor28	0.03539622808917
donor29	-0.0089437676683309
donor3	0.63603364861161
donor30	0.26321245292613
donor31	0.23829164945096
donor32	-0.0045770365544127
donor33	1.0177941882731
donor4	0.084346489865824
donor5	-0.00260894629078
donor6	0.0043775096764806
donor7	0.055783453290856
donor8	0.1532754880836
donor9	-0.039657947285546
