GroupBy(donor_id)	mean(bcell_score)
donor1	-0.0088562974882855
donor10	0.082168917347241
donor11	0.01463616134067
donor12	-0.016127900503023
donor13	0.055121172026787
donor14	0.042113187601567
donor15	0.12996315946806
donor16	-0.017320345683705
donor17	0.0093830846188214
donor18	-0.042699887221189
donor19	-0.013015147813787
donor2	-0.037980645992029
donor20	0.013147432928098
donor21	-0.034857757990297
donor22	0.060913733546524
donor23	-0.070711135713401
donor24	-0.062566693734674
donor25	-0.03240626168933
donor26	0.072732778815573
donor27	-0.053597564143075
donor28	-0.020533862588037
donor29	-0.050402433234665
donor3	-0.069147282419084
donor30	-0.092804031648444
donor31	-0.038578073213493
donor32	-0.033963798491238
donor33	0.069188650314595
donor4	0.076701531285916
donor5	0.001012145616481
donor6	0.10075940575695
donor7	-0.028196953727303
donor8	-0.022746037534911
donor9	-0.066691553950054
