GroupBy(donor_id)	mean(hla_score)
donor1	0.35223657694902
donor10	0.27202921378377
donor11	0.2135092895623
donor12	0.15944772769449
donor13	0.41021706147319
donor14	0.399101850224
donor15	0.2618599129379
donor16	0.13646172280355
donor17	0.20133250955513
donor18	0.15357859715886
donor19	0.097078369898265
donor2	0.25757521392051
donor20	0.34955276354927
donor21	0.30145326396681
donor22	0.37303598848681
donor23	0.11512315036823
donor24	0.23244896387128
donor25	0.32865689614478
donor26	0.2163812121374
donor27	0.47493948886002
donor28	0.39040087692694
donor29	0.1218724813082
donor3	0.44266177028607
donor30	0.51522845485624
donor31	0.19247616510907
donor32	0.30839710403964
donor33	0.22311754322395
donor4	0.19881972022393
donor5	0.21466555809391
donor6	0.17133457148512
donor7	0.19485761629024
donor8	0.22579472793547
donor9	0.032701085174811
