metric	value1	value2	value3	value4
shared_features	11858
target_match	target_gene	reference_guide	profile	feature_selection	similarity	query_guide	rank
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top50	0.6724315067485679	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top50	0.3867192146338121	guide8	2
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top50	0.38548848369966865	guide21	3
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top50	0.7665491310088514	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top50	0.5480825254536582	guide8	2
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top50	0.5444954656336761	guide21	3
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top100	0.5974637279709203	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top100	0.3618371624287524	guide12	2
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top100	0.3555169177490261	guide21	3
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top100	0.7214029798226815	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top100	0.5316259115681014	guide25	2
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top100	0.48508757067332264	guide21	3
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top250	0.5243812176653216	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top250	0.2288739204790259	guide3	2
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top250	0.2212209595806285	guide12	3
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top250	0.683224592216584	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top250	0.5076910008671526	guide17	2
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top250	0.47751115265062666	guide25	3
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top500	0.4862680879118606	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top500	0.21532951545107734	guide9	2
target_match	LEO1	LEO1-I2	cell_mean_log_pearson	top500	0.19330243132095828	guide8	3
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top500	0.6441769962948573	guide14	1
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top500	0.460954432718536	guide17	2
target_match	LEO1	LEO1-I2	cell_mean_log_cosine	top500	0.4258523450508512	guide20	3
