metric	value1	value2	value3	value4	value5
shared_named_features	11858
reference_noncontrol_guides	33
query_noncontrol_guides	32
target_match	target_gene	reference_guide	method	nearest_query_guide	nearest_score	nearest_rank	global_query_guide	global_score
target_match	LEO1	LEO1-I2	pearson_all	guide14	0.3072367609127206	1	guide10	0.08074042465854125
target_match	NUDT21	NUDT21-I3	pearson_all	guide13	0.6340415236247099	1	guide13	0.6340415236247099
target_match	PABPC1	PABPC1-I1	pearson_all	guide18	0.5334451861116686	1	guide18	0.5334451861116686
target_match	LEO1	LEO1-I2	gene_z_all	guide11	0.26189646436962116	1	guide32	0.057573372623371394
target_match	NUDT21	NUDT21-I3	gene_z_all	guide13	0.4255204202579829	1	guide13	0.4255204202579829
target_match	PABPC1	PABPC1-I1	gene_z_all	guide18	0.23171472436786766	1	guide18	0.23171472436786766
target_match	LEO1	LEO1-I2	rank_all	guide14	0.2288213647188721	1	guide14	0.2288213647188721
target_match	NUDT21	NUDT21-I3	rank_all	guide13	0.4531881606923611	1	guide13	0.4531881606923611
target_match	PABPC1	PABPC1-I1	rank_all	guide18	0.27289297242915145	1	guide18	0.27289297242915145
target_match	LEO1	LEO1-I2	gene_z_var250	guide1	0.6201505150635377	1	guide8	0.5064598180015005
target_match	NUDT21	NUDT21-I3	gene_z_var250	guide13	0.6702921821804776	1	guide13	0.6702921821804776
target_match	PABPC1	PABPC1-I1	gene_z_var250	guide18	0.5620635814817809	1	guide18	0.5620635814817809
target_match	LEO1	LEO1-I2	gene_z_var500	guide11	0.5530130966531891	1	guide10	0.2759995757606868
target_match	NUDT21	NUDT21-I3	gene_z_var500	guide13	0.6764747560760536	1	guide13	0.6764747560760536
target_match	PABPC1	PABPC1-I1	gene_z_var500	guide18	0.6182985813237855	1	guide18	0.6182985813237855
target_match	LEO1	LEO1-I2	gene_z_var1000	guide11	0.45582240365247223	1	guide23	0.28768985129770136
target_match	NUDT21	NUDT21-I3	gene_z_var1000	guide13	0.6599113834970406	1	guide13	0.6599113834970406
target_match	PABPC1	PABPC1-I1	gene_z_var1000	guide18	0.6194466923450023	1	guide18	0.6194466923450023
target_match	LEO1	LEO1-I2	gene_z_var2000	guide11	0.4152614353417869	1	guide23	0.2670260049805437
target_match	NUDT21	NUDT21-I3	gene_z_var2000	guide13	0.6501228477939269	1	guide13	0.6501228477939269
target_match	PABPC1	PABPC1-I1	gene_z_var2000	guide18	0.563095418395491	1	guide18	0.563095418395491
target_match	LEO1	LEO1-I2	gene_z_var5000	guide11	0.3593916952220547	1	guide10	0.11579055721063132
target_match	NUDT21	NUDT21-I3	gene_z_var5000	guide13	0.5585346047911837	1	guide13	0.5585346047911837
target_match	PABPC1	PABPC1-I1	gene_z_var5000	guide18	0.3952900206039229	1	guide18	0.3952900206039229
target_vote	target_gene	reference_guide	consensus_query_guide	count	methods
target_vote	LEO1	LEO1-I2	guide11	5	8
target_vote	NUDT21	NUDT21-I3	guide13	8	8
target_vote	PABPC1	PABPC1-I1	guide18	8	8
