metric	value1	value2	value3
reference_cells	4183
query_cells	3516
reference_features	11889
query_features	11889
shared_named_features	11858
reference_noncontrol_guides	33
query_noncontrol_guides	32
reference_control_cells	922
query_control_cells	1424
target_consensus	target_gene	reference_guide	method	nearest_query_guide	nearest_score	nearest_rank	global_query_guide	global_score
target_consensus	LEO1	LEO1-I2	pearson_all	guide14	0.3072367609127206	1	guide10	0.08074042465854125
target_consensus	NUDT21	NUDT21-I3	pearson_all	guide13	0.6340415236247099	1	guide13	0.6340415236247099
target_consensus	PABPC1	PABPC1-I1	pearson_all	guide18	0.5334451861116686	1	guide18	0.5334451861116686
target_consensus	LEO1	LEO1-I2	cosine_all	guide14	0.3705230735859784	1	guide14	0.3705230735859784
target_consensus	NUDT21	NUDT21-I3	cosine_all	guide13	0.6296719765833828	1	guide13	0.6296719765833828
target_consensus	PABPC1	PABPC1-I1	cosine_all	guide18	0.5230715366699988	1	guide18	0.5230715366699988
target_consensus	LEO1	LEO1-I2	pearson_var250	guide14	0.34882199955256943	1	guide10	0.07286342311254246
target_consensus	NUDT21	NUDT21-I3	pearson_var250	guide13	0.696520006251449	1	guide13	0.696520006251449
target_consensus	PABPC1	PABPC1-I1	pearson_var250	guide18	0.6266648738899201	1	guide18	0.6266648738899201
target_consensus	LEO1	LEO1-I2	pearson_var500	guide14	0.35753656630853836	1	guide14	0.35753656630853836
target_consensus	NUDT21	NUDT21-I3	pearson_var500	guide13	0.7081521252025301	1	guide13	0.7081521252025301
target_consensus	PABPC1	PABPC1-I1	pearson_var500	guide18	0.6145490210828999	1	guide18	0.6145490210828999
target_consensus	LEO1	LEO1-I2	pearson_var1000	guide14	0.3327875785112242	1	guide14	0.3327875785112242
target_consensus	NUDT21	NUDT21-I3	pearson_var1000	guide13	0.6902150992840148	1	guide13	0.6902150992840148
target_consensus	PABPC1	PABPC1-I1	pearson_var1000	guide18	0.5911784343911358	1	guide18	0.5911784343911358
target_consensus	LEO1	LEO1-I2	pearson_var2000	guide14	0.3035580868072106	1	guide8	0.12810698126786166
target_consensus	NUDT21	NUDT21-I3	pearson_var2000	guide13	0.6829364538598223	1	guide13	0.6829364538598223
target_consensus	PABPC1	PABPC1-I1	pearson_var2000	guide18	0.5868657252589679	1	guide18	0.5868657252589679
target_consensus	LEO1	LEO1-I2	pearson_var5000	guide14	0.2817247403536278	1	guide14	0.2817247403536278
target_consensus	NUDT21	NUDT21-I3	pearson_var5000	guide13	0.6542437147613269	1	guide13	0.6542437147613269
target_consensus	PABPC1	PABPC1-I1	pearson_var5000	guide18	0.5653990838365995	1	guide18	0.5653990838365995
target_vote	target_gene	reference_guide	consensus_query_guide	nearest_vote_count	methods
target_vote	LEO1	LEO1-I2	guide14	7	7
target_vote	NUDT21	NUDT21-I3	guide13	7	7
target_vote	PABPC1	PABPC1-I1	guide18	7	7
global_assignment	method	reference_guide	target_gene	query_guide	score
global_assignment	pearson_all	CDC73-I2	CDC73	guide14	0.3407170799216933
global_assignment	pearson_all	CPSF1-I3	CPSF1	guide4	0.6686502577724541
global_assignment	pearson_all	CPSF2-I1	CPSF2	guide21	0.47010996970179497
global_assignment	pearson_all	CPSF3-I3	CPSF3	guide3	0.5205965428307846
global_assignment	pearson_all	CPSF3L-I8	CPSF3L	guide1	0.12241830423229488
global_assignment	pearson_all	CPSF4-I8	CPSF4	guide29	0.5500751145152117
global_assignment	pearson_all	CPSF6-I5	CPSF6	guide19	0.5156561306468377
global_assignment	pearson_all	CPSF7-I1	CPSF7	guide2	0.1992382640899003
global_assignment	pearson_all	CSTF1-I5	CSTF1	guide16	0.4650799235097995
global_assignment	pearson_all	CSTF2-I4	CSTF2	guide31	0.096517264361905
global_assignment	pearson_all	CSTF3-I5	CSTF3	guide22	0.504616167199727
global_assignment	pearson_all	CTR9-I7	CTR9	guide28	0.3076067383784347
global_assignment	pearson_all	FIP1L1-I1	FIP1L1	guide17	0.46102450956542096
global_assignment	pearson_all	LEO1-I2	LEO1	guide10	0.08074042465854125
global_assignment	pearson_all	NUDT21-I3	NUDT21	guide13	0.6340415236247099
global_assignment	pearson_all	PABPC1-I1	PABPC1	guide18	0.5334451861116686
global_assignment	pearson_all	PABPN1-I2	PABPN1	guide24	0.3984636672203579
global_assignment	pearson_all	PAF1-I6	PAF1	guide12	0.25879261766883793
global_assignment	pearson_all	PAPOLA-I3	PAPOLA	guide7	0.3284506077116416
global_assignment	pearson_all	PCF11-I5	PCF11	guide20	0.557725607129125
global_assignment	pearson_all	PHF3-I5	PHF3	guide32	5.6237094179340796e-05
global_assignment	pearson_all	RBBP6-I4	RBBP6	guide9	0.4521682885319823
global_assignment	pearson_all	RPAP2-I2	RPAP2	guide15	0.19635910764934042
global_assignment	pearson_all	RPRD1A-I5	RPRD1A	guide8	0.11351536653491985
global_assignment	pearson_all	RPRD1B-I1	RPRD1B	guide5	0.3234553907775977
global_assignment	pearson_all	SCAF1-I2	SCAF1	guide26	0.42964087797069955
global_assignment	pearson_all	SCAF11-I3	SCAF11	guide11	0.1274573180849516
global_assignment	pearson_all	SCAF4-I4	SCAF4	guide6	0.25532864735323874
global_assignment	pearson_all	SF3A1-I5	SF3A1	guide23	0.22359490399461227
global_assignment	pearson_all	SRSF3-I1	SRSF3	guide30	0.28763740703611707
global_assignment	pearson_all	SYMPK-I3	SYMPK	guide25	0.4330379711494579
global_assignment	pearson_all	THOC5-I1	THOC5	guide27	0.2844400427024088
global_assignment	cosine_all	CDC73-I2	CDC73	guide10	0.14296095662904057
global_assignment	cosine_all	CPSF1-I3	CPSF1	guide4	0.6978646027331465
global_assignment	cosine_all	CPSF2-I1	CPSF2	guide21	0.4887677345385992
global_assignment	cosine_all	CPSF3-I3	CPSF3	guide3	0.5515478992469781
global_assignment	cosine_all	CPSF3L-I8	CPSF3L	guide1	0.14588889751367848
global_assignment	cosine_all	CPSF4-I8	CPSF4	guide29	0.5880951392231761
global_assignment	cosine_all	CPSF6-I5	CPSF6	guide19	0.49320797970770414
global_assignment	cosine_all	CPSF7-I1	CPSF7	guide2	0.2008631516245018
global_assignment	cosine_all	CSTF1-I5	CSTF1	guide16	0.5291585371443109
global_assignment	cosine_all	CSTF2-I4	CSTF2	guide31	0.10719770038326246
global_assignment	cosine_all	CSTF3-I5	CSTF3	guide22	0.527276706451357
global_assignment	cosine_all	CTR9-I7	CTR9	guide28	0.3516073758443408
global_assignment	cosine_all	FIP1L1-I1	FIP1L1	guide17	0.48715234040325794
global_assignment	cosine_all	LEO1-I2	LEO1	guide14	0.3705230735859784
global_assignment	cosine_all	NUDT21-I3	NUDT21	guide13	0.6296719765833828
global_assignment	cosine_all	PABPC1-I1	PABPC1	guide18	0.5230715366699988
global_assignment	cosine_all	PABPN1-I2	PABPN1	guide24	0.4059225065194328
global_assignment	cosine_all	PAF1-I6	PAF1	guide12	0.3124510615689281
global_assignment	cosine_all	PAPOLA-I3	PAPOLA	guide7	0.33593659545779087
global_assignment	cosine_all	PCF11-I5	PCF11	guide20	0.6023603584932489
global_assignment	cosine_all	PHF3-I5	PHF3	guide32	0.0006123586427847191
global_assignment	cosine_all	RBBP6-I4	RBBP6	guide9	0.4705027188869765
global_assignment	cosine_all	RPAP2-I2	RPAP2	guide15	0.220133697892005
